term,definition,source_anchor,notes
<em>0x</em>,"A string of x zero bits. For example, 05 = 00000.",https://csrc.nist.gov/glossary/term/x_power_x,source: NIST SP 800-106
<em>0x</em>,The prefix to a bit string that is represented in hexadecimal characters.,https://csrc.nist.gov/glossary/term/x_power_x,source: NIST SP 800-38C
<em>0x</em>,The marker for the beginning of a hexadecimal representation of a bit string.,https://csrc.nist.gov/glossary/term/x_power_x,source: NIST SP 800-38F
<em>0x</em>,A string of x zero bits.,https://csrc.nist.gov/glossary/term/x_power_x,source: NIST SP 800-90A Rev. 1
<em>0x0X</em>,"8-bit binary representation of the hexadecimal number X, for example, 0x02 = 00000010.",https://csrc.nist.gov/glossary/term/0x0x,source: NIST SP 800-135 Rev. 1
<em>0xab</em>,"Hexadecimal notation that is used to define a byte (i.e., eight bits) of information, where a and b each specify four bits of information and have values from the range {0, 1, 2,…F}. For example, 0xc6 is used to represent 11000110, where c is 1100, and 6 is 0110.",https://csrc.nist.gov/glossary/term/0xab,source: NIST SP 800-90A Rev. 1
<em>a mod b</em>,The modulo operation of integers a and b. “a mod b” returns the remainder after dividing a by b.,https://csrc.nist.gov/glossary/term/a_mod_b,source: NIST SP 800-185
<em>A(i)</em>,The output of the <i>i</i><sup>th</sup> iteration in the first pipeline of a double pipeline iteration mode.,https://csrc.nist.gov/glossary/term/a_parenths_i,source: NIST SP 800-108r1
<em>A(i)</em>,The output of the ith iteration in the first pipeline in a doublepipeline iteration mode.,https://csrc.nist.gov/glossary/term/a_parenths_i,source: NIST SP 800-108
<em>A</em>,The associated data string.,https://csrc.nist.gov/glossary/term/a_uppercase,abbr/syn: Address; source: NIST SP 800-38C
<em>A</em>,The additional authenticated data,https://csrc.nist.gov/glossary/term/a_uppercase,abbr/syn: Address; source: NIST SP 800-38D
<em>A</em>,Additional input that is bound to the secret keying material; a byte string.,https://csrc.nist.gov/glossary/term/a_uppercase,abbr/syn: Address; source: NIST SP 800-56B Rev. 2
<em>A</em>,"A short, alphanumeric string derived from a user’s public key using a hash function, with additional data to detect errors. Addresses are used to send and receive digital assets.",https://csrc.nist.gov/glossary/term/a_uppercase,abbr/syn: Address; source: NISTIR 8202; NISTIR 8301
<em>A</em>,Additional input that is bound to keying material; a byte string.,https://csrc.nist.gov/glossary/term/a_uppercase,abbr/syn: Address; source: NIST SP 800-56B Rev. 1
<em>a</em>,The significance level.,https://csrc.nist.gov/glossary/term/a_lowercase,source: NIST SP 800-22 Rev. 1a
<em>a</em>,The octet length of the associated data.,https://csrc.nist.gov/glossary/term/a_lowercase,source: NIST SP 800-38C
"<em>AES(k, input)</em>","A single AES encryption operation as specified in [FIPS 197] with k and input being the AES encryption key and one 128-bit block of plaintext/data, respectively.",https://csrc.nist.gov/glossary/term/aes_k_input,source: NIST SP 800-135 Rev. 1
<em>Alen</em>,The bit length of the associated data.,https://csrc.nist.gov/glossary/term/alen,source: NIST SP 800-38C
<em>Alphabet size</em>,The number of distinct symbols that the noise source produces.,https://csrc.nist.gov/glossary/term/alphabet_size,source: NIST SP 800-90B
<em>Alphabet</em>,A finite set of two or more symbols.,https://csrc.nist.gov/glossary/term/alphabet,source: NIST SP 800-90B
<em>assurance_level</em>,"The level of assurance (e.g., HIGH, MEDIUM, or LOW) that a claimed signatory possesses the private signature key.",https://csrc.nist.gov/glossary/term/assurance_level,source: NIST SP 800-89
<em>b</em>,"The block size, in bits.",https://csrc.nist.gov/glossary/term/lower_case_b,source: NIST SP 800-38A
<em>b</em>,The bit length of a block.,https://csrc.nist.gov/glossary/term/lower_case_b,source: NIST SP 800-38B
<em>B</em>,The bit string to be determined,https://csrc.nist.gov/glossary/term/upper_case_b,source: NIST SP 800-133 Rev. 2
<em>Bi</em>,The ith block of the formatted input.,https://csrc.nist.gov/glossary/term/bi,source: NIST SP 800-38C
<em>Binary data (from a noise source)</em>,"Digitized output from a noise source that consists of a single bit; that is, each sampled output value is represented as either 0 or 1.",https://csrc.nist.gov/glossary/term/binary_data,source: NIST SP 800-90B
<em>bLen</em>,The length of the bit string B in bits,https://csrc.nist.gov/glossary/term/blen,source: NIST SP 800-133 Rev. 2
<em>C#j</em>,The jth ciphertext segment.,https://csrc.nist.gov/glossary/term/c_pound_sub_i,source: NIST SP 800-38A
<em>C*n</em>,"The last block of the ciphertext, which may be a partial block.",https://csrc.nist.gov/glossary/term/cstarn,source: NIST SP 800-38A
<em>CIPH-1K(X)</em>,The inverse cipher function of the block cipher algorithm under the key K applied to the data block X.,https://csrc.nist.gov/glossary/term/ciph_1kx,source: NIST SP 800-38A
<em>CIPH-1K(X)</em>,The output of the inverse of the designated cipher function of the block cipher under the key K applied to the block X.,https://csrc.nist.gov/glossary/term/ciph_1kx,source: NIST SP 800-38F
<em>CIPHK(X)</em>,The forward cipher function of the block cipher algorithm under the key K applied to the data block X.,https://csrc.nist.gov/glossary/term/ciph_kx,source: NIST SP 800-38A
<em>CIPHK(X)</em>,The output of the forward cipher function of the block cipher under the key K applied to the block X.,https://csrc.nist.gov/glossary/term/ciph_kx,source: NIST SP 800-38B; NIST SP 800-38D
<em>CIPHK(X)</em>,The output of the forward cipher function of the block cipher algorithm under the key K applied to the data block X.,https://csrc.nist.gov/glossary/term/ciph_kx,source: NIST SP 800-38C
<em>CIPHK(X)</em>,The output of the designated cipher function of the block cipher under the key K applied to the block X.,https://csrc.nist.gov/glossary/term/ciph_kx,source: NIST SP 800-38F
<em>Cj</em>,The jth ciphertext block.,https://csrc.nist.gov/glossary/term/cj,source: NIST SP 800-38A
<em>Clen</em>,The bit length of the ciphertext.,https://csrc.nist.gov/glossary/term/clen,source: NIST SP 800-38C
<em>Cn</em>,Block of data representing the Ciphertext n,https://csrc.nist.gov/glossary/term/cn_symbol,source: NIST SP 800-20
<em>Conditioning (of noise source output)</em>,A method of processing the raw data to reduce bias and/or ensure that the entropy rate of the conditioned output is no less than some specified amount.,https://csrc.nist.gov/glossary/term/conditioning,source: NIST SP 800-90B
<em>Confidence interval</em>,"An interval estimate [low, high] of a population parameter. If the population is repeatedly sampled, and confidence intervals are computed for each sample with significance level α, approximately 100(1− α) % of the intervals are expected to contain the true population parameter.",https://csrc.nist.gov/glossary/term/confidence_interval,abbr/syn: CI; source: NIST SP 800-90B
<em>Continuous test</em>,"A type of health test performed within an entropy source on the output of its noise source in order to gain some level of assurance that the noise source is working correctly, prior to producing each output from the entropy source.",https://csrc.nist.gov/glossary/term/continuous_test,source: NIST SP 800-90B
<em>Ctri</em>,The ith counter block.,https://csrc.nist.gov/glossary/term/ctri,source: NIST SP 800-38C
<em>Cumulative Distribution Function (CDF) F(x)</em>,"A function giving the probability that the random variable X is less than or equal to x, for every value x. That is, F(x) = P(X £ x).",https://csrc.nist.gov/glossary/term/cumulative_distribution_function,source: NIST SP 800-22 Rev. 1a
<em>D</em>,"A payload of data that is assembled and transmitted by the message signatory, which includes (at least) the message and a digital signature, and may also include one or more timestamps.",https://csrc.nist.gov/glossary/term/d_uppercase,source: NIST SP 800-102
<em>D</em>,The number of levels of trees in XMSSMT.,https://csrc.nist.gov/glossary/term/d_uppercase,source: NIST SP 800-208
<em>d</em>,The normalized difference between the observed and expected number of frequency components. See Sections 2.6 and 3.6.,https://csrc.nist.gov/glossary/term/d_lowercase,source: NIST SP 800-22 Rev. 1a
<em>d</em>,RSA private exponent; a positive integer.,https://csrc.nist.gov/glossary/term/d_lowercase,source: NIST SP 800-56B Rev. 2; NIST SP 800-56B Rev. 1
<em>Dataset</em>,A collection of data.,https://csrc.nist.gov/glossary/term/dataset,source: NIST SP 800-188
<em>Dataset</em>,A sequence of sample values. (See Sample.),https://csrc.nist.gov/glossary/term/dataset,source: NIST SP 800-90B
<em>Destruction</em>,"The process of overwriting, erasing, or physically destroying a key so that it cannot be recovered.",https://csrc.nist.gov/glossary/term/destruction,source: NIST SP 800-57 Part 2
<em>Destruction</em>,"The process of overwriting, erasing, or physically destroying information (e.g., a cryptographic key) so that it cannot be recovered. See NIST SP 800-88.",https://csrc.nist.gov/glossary/term/destruction,source: NIST SP 800-57 Part 2 Rev.1
<em>Dictionary</em>,"A dynamic-length data structure that stores a collection of elements or values, where a unique label identifies each element. The label can be any data type.",https://csrc.nist.gov/glossary/term/dictionary,source: NIST SP 800-90B
<em>Digitization</em>,The process of generating bits from the noise source.,https://csrc.nist.gov/glossary/term/digitization,source: NIST SP 800-90B
<em>dP</em>,"RSA private exponent for the prime factor p in the CRT format, i.e., d mod (p - 1); an integer.",https://csrc.nist.gov/glossary/term/dp,source: NIST SP 800-56B Rev. 2
<em>dP</em>,"RSA private exponent for the prime factor p in the CRT format, i.e., d mod (p-1); an integer.",https://csrc.nist.gov/glossary/term/dp,source: NIST SP 800-56B Rev. 1
<em>dQ</em>,"RSA private exponent for the prime factor q in the CRT format, i.e., d mod (q - 1); an integer.",https://csrc.nist.gov/glossary/term/dq,source: NIST SP 800-56B Rev. 2
<em>dQ</em>,"RSA private exponent for the prime factor q in the CRT format, i.e., d mod (q-1); an integer.",https://csrc.nist.gov/glossary/term/dq,source: NIST SP 800-56B Rev. 1
<em>E[ ]</em>,The expected value of a random variable.,https://csrc.nist.gov/glossary/term/expected_value_of_random_value,source: NIST SP 800-22 Rev. 1a
<em>e</em>,The original input string of zero and one bits to be tested.,https://csrc.nist.gov/glossary/term/e,source: NIST SP 800-22 Rev. 1a
<em>e</em>,RSA public exponent; a positive integer.,https://csrc.nist.gov/glossary/term/e,source: NIST SP 800-56B Rev. 2; NIST SP 800-56B Rev. 1
<em>eBits</em>,The bit length of the RSA exponent e.,https://csrc.nist.gov/glossary/term/ebits,source: NIST SP 800-56B Rev. 2
<em>eBits</em>,Length in bits of the RSA exponent e.,https://csrc.nist.gov/glossary/term/ebits,source: NIST SP 800-56B Rev. 1
<em>ei</em>,The ith bit in the original sequencee.,https://csrc.nist.gov/glossary/term/ei,source: NIST SP 800-22 Rev. 1a
<em>enc8(i)</em>,"For an integer i ranging from 0 to 255, enc8(i) is the byte encoding of i, with bit 0 being the low-order bit of the byte.",https://csrc.nist.gov/glossary/term/byte_encoding_of_int,source: NIST SP 800-185
<em>Entropy rate</em>,"The rate at which a digitized noise source (or entropy source) provides entropy; it is computed as the assessed amount of entropy provided by a bitstring output from the source, divided by the total number of bits in the bitstring (yielding the assessed bits of entropy per output bit). This will be a value between zero (no entropy) and one.",https://csrc.nist.gov/glossary/term/entropy_rate,source: NIST SP 800-90B
