"control_id","control_name","is_enhancement","parent_control_id","baseline","baseline_levels","control_text","fedramp_assignments"
"AC-4(21)","Physical or Logical Separation of Information Flows","true","AC-4","High","M,H","Separate information flows logically or physically using [Assignment: organization-defined mechanisms and/or techniques] to accomplish [Assignment: organization-defined required separations by types of information].",""
"AC-5","Separation of Duties","false","","High","M,H","a. Identify and document [Assignment: organization-defined duties of individuals requiring separation]; and

    b. Define system access authorizations to support separation of duties.

__ AC-5 Additional FedRAMP Requirements and Guidance:__

__ Guidance:__ CSPs have the option to provide a separation of duties matrix as an attachment to the SSP.",""
"AC-6","Least Privilege","false","","High","M,H","Employ the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) that are necessary to accomplish assigned organizational tasks.",""
"AC-6(1)","Authorize Access to Security Functions","true","AC-6","High","M,H","Authorize access for [Assignment: organization-defined individuals or roles] to:

        (a)    [FedRAMP Assignment: all functions not publicly accessible]; and

        (b)    [FedRAMP Assignment: all security-relevant information not publicly available].","all functions not publicly accessible
all security-relevant information not publicly available"
"AC-6(2)","Non-privileged Access for Nonsecurity Functions","true","AC-6","High","M,H","Require that users of system accounts (or roles) with access to [FedRAMP Assignment: all security functions] use non-privileged accounts or roles, when accessing nonsecurity functions.

__ AC-6 (2) Additional FedRAMP Requirements and Guidance:__

__ Guidance:__ Examples of security functions include but are not limited to: establishing system accounts, configuring access authorizations (i.e., permissions, privileges), setting events to be audited, and setting intrusion detection parameters, system programming, system and security administration, other privileged functions.","all security functions"
"AC-6(3)","Network Access to Privileged Commands","true","AC-6","High","H","Authorize network access to [FedRAMP Assignment: all privileged commands] only for [Assignment: organization-defined compelling operational needs] and document the rationale for such access in the security plan for the system.","all privileged commands"
"AC-6(5)","Privileged Accounts","true","AC-6","High","M,H","Restrict privileged accounts on the system to [Assignment: organization-defined personnel or roles].",""
"AC-6(7)","Review of User Privileges","true","AC-6","High","M,H","(a)   Review [FedRAMP Assignment: at a minimum, annually] the privileges assigned to [FedRAMP Assignment: all users with privileges] to validate the need for such privileges; and

        (b)   Reassign or remove privileges, if necessary, to correctly reflect organizational mission and business needs.","at a minimum, annually
all users with privileges"
"AC-6(8)","Privilege Levels for Code Execution","true","AC-6","High","H","Prevent the following software from executing at higher privilege levels than users executing the software: [FedRAMP Assignment: any software except software explicitly documented].","any software except software explicitly documented"
"AC-6(9)","Log Use of Privileged Functions","true","AC-6","High","M,H","Log the execution of privileged functions.",""
"AC-6(10)","Prohibit Non-privileged Users from Executing Privileged Functions","true","AC-6","High","M,H","Prevent non-privileged users from executing privileged functions.",""
"AC-7","Unsuccessful Logon Attempts","false","","High","L,M,H","a. Enforce a limit of [Assignment: organization-defined number] consecutive invalid logon attempts by a user during a [Assignment: organization-defined time period]; and

    b. Automatically [Selection (one-or-more): lock the account or node for an [Assignment: organization-defined time period]; lock the account or node until released by an administrator; delay next logon prompt per [Assignment: organization-defined delay algorithm]; notify system administrator; take other [Assignment: organization-defined action]] when the maximum number of unsuccessful attempts is exceeded.

__ AC-7 Additional FedRAMP Requirements and Guidance:__

__ Requirement:__ In alignment with NIST SP 800-63B.",""
"AC-8","System Use Notification","false","","High","L,M,H","a. Display [FedRAMP Assignment: see additional Requirements and Guidance] to users before granting access to the system that provides privacy and security notices consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines and state that:

        1. Users are accessing a U.S. Government system;

        2. System usage may be monitored, recorded, and subject to audit;

        3. Unauthorized use of the system is prohibited and subject to criminal and civil penalties; and

        4. Use of the system indicates consent to monitoring and recording;

    b. Retain the notification message or banner on the screen until users acknowledge the usage conditions and take explicit actions to log on to or further access the system; and

    c. For publicly accessible systems:

        1. <a id=""_Hlk137639061""></a>Display system use information [FedRAMP Assignment: see additional Requirements and Guidance], before granting further access to the publicly accessible system.

        2. Display references, if any, to monitoring, recording, or auditing that are consistent with privacy accommodations for such systems that generally prohibit those activities; and

        3. Include a description of the authorized uses of the system.

__ AC-8 Additional FedRAMP Requirements and Guidance:__

__ Guidance:__ If performed as part of a Configuration Baseline check, then the % of items requiring setting that are checked and that pass (or fail) check can be provided.

__ Requirement:__ The service provider shall determine elements of the cloud environment that require the System Use Notification control. The elements of the cloud environment that require System Use Notification are approved and accepted by the JAB/AO.

__ Requirement:__ The service provider shall determine how System Use Notification is going to be verified and provide appropriate periodicity of the check. The System Use Notification verification and periodicity are approved and accepted by the JAB/AO.

__ Requirement:__ If not performed as part of a Configuration Baseline check, then there must be documented agreement on how to provide results of verification and the necessary periodicity of the verification by the service provider. The documented agreement on how to provide verification of the results is approved and accepted by the JAB/AO.","see additional Requirements and Guidance
see additional Requirements and Guidance"
"AC-10","Concurrent Session Control","false","","High","H","Limit the number of concurrent sessions for each [Assignment: organization-defined account and/or account type] to [FedRAMP Assignment: three (3) sessions for privileged access and two (2) sessions for non-privileged access].","three (3) sessions for privileged access and two (2) sessions for non-privileged access"
"AC-11","Device Lock","false","","High","M,H","a. Prevent further access to the system by [Selection (one-or-more): initiating a device lock after [FedRAMP Assignment: fifteen (15) minutes of inactivity]; requiring the user to initiate a device lock before leaving the system unattended]; and

    b. Retain the device lock until the user re-establishes access using established identification and authentication procedures.","fifteen (15) minutes of inactivity"
"AC-11(1)","Pattern-hiding Displays","true","AC-11","High","M,H","Conceal, via the device lock, information previously visible on the display with a publicly viewable image.",""
"AC-12","Session Termination","false","","High","M,H","Automatically terminate a user session after [Assignment: organization-defined conditions, or trigger events requiring session disconnect].",""
"AC-14","Permitted Actions Without Identification or Authentication","false","","High","L,M,H","a. Identify [Assignment: organization-defined user actions] that can be performed on the system without identification or authentication consistent with organizational mission and business functions; and

    b. Document and provide supporting rationale in the security plan for the system, user actions not requiring identification or authentication.",""
"AC-17","Remote Access","false","","High","L,M,H","a. Establish and document usage restrictions, configuration/connection requirements, and implementation guidance for each type of remote access allowed; and

    b. Authorize each type of remote access to the system prior to allowing such connections.",""
"AC-17(1)","Monitoring and Control","true","AC-17","High","M,H","Employ automated mechanisms to monitor and control remote access methods.",""
"AC-17(2)","Protection of Confidentiality and Integrity Using Encryption","true","AC-17","High","M,H","Implement cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions.",""
"AC-17(3)","Managed Access Control Points","true","AC-17","High","M,H","Route remote accesses through authorized and managed network access control points.",""
"AC-17(4)","Privileged Commands and Access","true","AC-17","High","M,H","(a)   Authorize the execution of privileged commands and access to security-relevant information via remote access only in a format that provides assessable evidence and for the following needs: [Assignment: organization-defined needs]; and

        (b)   Document the rationale for remote access in the security plan for the system.",""
