"identifier","family","base_control","enhancement","is_enhancement","sort_as","name","withdrawn","in_privacy_baseline","in_low_baseline","in_moderate_baseline","in_high_baseline"
"CM-6(4)","CM","CM-6","4","True","CM-06-04","Configuration Settings | Conformance Demonstration","False","False","False","False","False"
"CM-7","CM","CM-7","","False","CM-07-00","Least Functionality","False","False","True","True","True"
"CM-7(1)","CM","CM-7","1","True","CM-07-01","Least Functionality | Periodic Review","False","False","False","True","True"
"CM-7(2)","CM","CM-7","2","True","CM-07-02","Least Functionality | Prevent Program Execution","False","False","False","True","True"
"CM-7(3)","CM","CM-7","3","True","CM-07-03","Least Functionality | Registration Compliance","False","False","False","False","False"
"CM-7(4)","CM","CM-7","4","True","CM-07-04","Least Functionality | Unauthorized Software","False","False","False","False","False"
"CM-7(5)","CM","CM-7","5","True","CM-07-05","Least Functionality | Authorized Software","False","False","False","True","True"
"CM-7(6)","CM","CM-7","6","True","CM-07-06","Least Functionality | Confined Environments with Limited Privileges","False","False","False","False","False"
"CM-7(7)","CM","CM-7","7","True","CM-07-07","Least Functionality | Code Execution in Protected Environments","False","False","False","False","False"
"CM-7(8)","CM","CM-7","8","True","CM-07-08","Least Functionality | Binary or Machine Executable Code","False","False","False","False","False"
"CM-7(9)","CM","CM-7","9","True","CM-07-09","Least Functionality | Prohibiting The Use of Unauthorized Hardware","False","False","False","False","False"
"CM-8","CM","CM-8","","False","CM-08-00","System Component Inventory","False","False","True","True","True"
"CM-8(1)","CM","CM-8","1","True","CM-08-01","System Component Inventory | Updates During Installation and Removal","False","False","False","True","True"
"CM-8(2)","CM","CM-8","2","True","CM-08-02","System Component Inventory | Automated Maintenance","False","False","False","False","True"
"CM-8(3)","CM","CM-8","3","True","CM-08-03","System Component Inventory | Automated Unauthorized Component Detection","False","False","False","True","True"
"CM-8(4)","CM","CM-8","4","True","CM-08-04","System Component Inventory | Accountability Information","False","False","False","False","True"
"CM-8(5)","CM","CM-8","5","True","CM-08-05","System Component Inventory | No Duplicate Accounting of Components","False","False","False","False","False"
"CM-8(6)","CM","CM-8","6","True","CM-08-06","System Component Inventory | Assessed Configurations and Approved Deviations","False","False","False","False","False"
"CM-8(7)","CM","CM-8","7","True","CM-08-07","System Component Inventory | Centralized Repository","False","False","False","False","False"
"CM-8(8)","CM","CM-8","8","True","CM-08-08","System Component Inventory | Automated Location Tracking","False","False","False","False","False"
"CM-8(9)","CM","CM-8","9","True","CM-08-09","System Component Inventory | Assignment of Components to Systems","False","False","False","False","False"
"CM-9","CM","CM-9","","False","CM-09-00","Configuration Management Plan","False","False","False","True","True"
"CM-9(1)","CM","CM-9","1","True","CM-09-01","Configuration Management Plan | Assignment of Responsibility","False","False","False","False","False"
"CM-10","CM","CM-10","","False","CM-10-00","Software Usage Restrictions","False","False","True","True","True"
"CM-10(1)","CM","CM-10","1","True","CM-10-01","Software Usage Restrictions | Open-source Software","False","False","False","False","False"
"CM-11","CM","CM-11","","False","CM-11-00","User-installed Software","False","False","True","True","True"
"CM-11(1)","CM","CM-11","1","True","CM-11-01","User-installed Software | Alerts for Unauthorized Installations","False","False","False","False","False"
"CM-11(2)","CM","CM-11","2","True","CM-11-02","User-installed Software | Software Installation with Privileged Status","False","False","False","False","False"
"CM-11(3)","CM","CM-11","3","True","CM-11-03","User-installed Software | Automated Enforcement and Monitoring","False","False","False","False","False"
"CM-12","CM","CM-12","","False","CM-12-00","Information Location","False","False","False","True","True"
"CM-12(1)","CM","CM-12","1","True","CM-12-01","Information Location | Automated Tools to Support Information Location","False","False","False","True","True"
"CM-13","CM","CM-13","","False","CM-13-00","Data Action Mapping","False","False","False","False","False"
"CM-14","CM","CM-14","","False","CM-14-00","Signed Components","False","False","False","False","False"
"CP-1","CP","CP-1","","False","CP-01-00","Policy and Procedures","False","False","True","True","True"
"CP-2","CP","CP-2","","False","CP-02-00","Contingency Plan","False","False","True","True","True"
"CP-2(1)","CP","CP-2","1","True","CP-02-01","Contingency Plan | Coordinate with Related Plans","False","False","False","True","True"
"CP-2(2)","CP","CP-2","2","True","CP-02-02","Contingency Plan | Capacity Planning","False","False","False","False","True"
"CP-2(3)","CP","CP-2","3","True","CP-02-03","Contingency Plan | Resume Mission and Business Functions","False","False","False","True","True"
"CP-2(4)","CP","CP-2","4","True","CP-02-04","Contingency Plan | Resume All Mission and Business Functions","False","False","False","False","False"
"CP-2(5)","CP","CP-2","5","True","CP-02-05","Contingency Plan | Continue Mission and Business Functions","False","False","False","False","True"
"CP-2(6)","CP","CP-2","6","True","CP-02-06","Contingency Plan | Alternate Processing and Storage Sites","False","False","False","False","False"
"CP-2(7)","CP","CP-2","7","True","CP-02-07","Contingency Plan | Coordinate with External Service Providers","False","False","False","False","False"
"CP-2(8)","CP","CP-2","8","True","CP-02-08","Contingency Plan | Identify Critical Assets","False","False","False","True","True"
"CP-3","CP","CP-3","","False","CP-03-00","Contingency Training","False","False","True","True","True"
"CP-3(1)","CP","CP-3","1","True","CP-03-01","Contingency Training | Simulated Events","False","False","False","False","True"
"CP-3(2)","CP","CP-3","2","True","CP-03-02","Contingency Training | Mechanisms Used in Training Environments","False","False","False","False","False"
"CP-4","CP","CP-4","","False","CP-04-00","Contingency Plan Testing","False","False","True","True","True"
"CP-4(1)","CP","CP-4","1","True","CP-04-01","Contingency Plan Testing | Coordinate with Related Plans","False","False","False","True","True"
"CP-4(2)","CP","CP-4","2","True","CP-04-02","Contingency Plan Testing | Alternate Processing Site","False","False","False","False","True"
"CP-4(3)","CP","CP-4","3","True","CP-04-03","Contingency Plan Testing | Automated Testing","False","False","False","False","False"
"CP-4(4)","CP","CP-4","4","True","CP-04-04","Contingency Plan Testing | Full Recovery and Reconstitution","False","False","False","False","False"
"CP-4(5)","CP","CP-4","5","True","CP-04-05","Contingency Plan Testing | Self-challenge","False","False","False","False","False"
"CP-5","CP","CP-5","","False","CP-05-00","Contingency Plan Update","False","False","False","False","False"
"CP-6","CP","CP-6","","False","CP-06-00","Alternate Storage Site","False","False","False","True","True"
"CP-6(1)","CP","CP-6","1","True","CP-06-01","Alternate Storage Site | Separation from Primary Site","False","False","False","True","True"
"CP-6(2)","CP","CP-6","2","True","CP-06-02","Alternate Storage Site | Recovery Time and Recovery Point Objectives","False","False","False","False","True"
"CP-6(3)","CP","CP-6","3","True","CP-06-03","Alternate Storage Site | Accessibility","False","False","False","True","True"
