"control_id","family","family_name","title","ot_discussion","content"
"AC-1","AC","Access Control","Access Control Policy And Procedures","The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems. OT access by vendors and maintenance staff can occur over a large facility footprint or geographic area and into unobserved spaces, such as mechanical or electrical rooms, ceilings, floors, field substations, switch and valve vaults, and pump stations. | CNTL | CONTROL NAME | | CONTROL BASELINES | | |----------------------|------------------------------------------------------------------------------|--------|-------------------|--------| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | AC-2 | Account Management | Select | Select | Select | | AC-2 (1) | ACCOUNT MANAGEMENT AUTOMATED SYSTEM ACCOUNT<br>MANAGEMENT | | Select | Select | | AC-2 (2) | ACCOUNT MANAGEMENT AUTOMATED TEMPORARY AND<br>EMERGENCY ACCOUNT MANAGEMENT | | Select | Select | | AC-2 (3) | ACCOUNT MANAGEMENT DISABLE ACCOUNTS | | Select | Select | | AC-2 (4) | ACCOUNT MANAGEMENT AUTOMATED AUDIT ACTIONS | | Select | Select | | AC-2 (5) | ACCOUNT MANAGEMENT INACTIVITY LOGOUT | | Select | Select | | AC-2<br>(11) | ACCOUNT MANAGEMENT USAGE CONDITIONS | | | Select | | AC-2 | ACCOUNT MANAGEMENT ACCOUNT MONITORING FOR ATYPICAL | | | Select | | (12)<br>AC-2<br>(13) | USAGE<br>ACCOUNT MANAGEMENT DISABLE ACCOUNTS FOR HIGH-RISK<br>INDIVIDUALS | | Select | Select | OT Discussion: In OT systems, physical security, personnel security, intrusion detection, or auditing measures may support this control objective.","| CNTL<br>CONTROL NAME<br>Control Enhancement Name<br>NO. | CONTROL BASELINES | | | | |---------------------------------------------------------|-----------------------|--------|--------|--------| | | | LOW | MOD | HIGH | | AC-1 | Policy and Procedures | Select | Select | Select | OT Discussion: The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems. OT access by vendors and maintenance staff can occur over a large facility footprint or geographic area and into unobserved spaces, such as mechanical or electrical rooms, ceilings, floors, field substations, switch and valve vaults, and pump stations. | CNTL | CONTROL NAME | | CONTROL BASELINES | | |----------------------|------------------------------------------------------------------------------|--------|-------------------|--------| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | AC-2 | Account Management | Select | Select | Select | | AC-2 (1) | ACCOUNT MANAGEMENT AUTOMATED SYSTEM ACCOUNT<br>MANAGEMENT | | Select | Select | | AC-2 (2) | ACCOUNT MANAGEMENT AUTOMATED TEMPORARY AND<br>EMERGENCY ACCOUNT MANAGEMENT | | Select | Select | | AC-2 (3) | ACCOUNT MANAGEMENT DISABLE ACCOUNTS | | Select | Select | | AC-2 (4) | ACCOUNT MANAGEMENT AUTOMATED AUDIT ACTIONS | | Select | Select | | AC-2 (5) | ACCOUNT MANAGEMENT INACTIVITY LOGOUT | | Select | Select | | AC-2<br>(11) | ACCOUNT MANAGEMENT USAGE CONDITIONS | | | Select | | AC-2 | ACCOUNT MANAGEMENT ACCOUNT MONITORING FOR ATYPICAL | | | Select | | (12)<br>AC-2<br>(13) | USAGE<br>ACCOUNT MANAGEMENT DISABLE ACCOUNTS FOR HIGH-RISK<br>INDIVIDUALS | | Select | Select | OT Discussion: In OT systems, physical security, personnel security, intrusion detection, or auditing measures may support this control objective. Control Enhancement: (1) (3) (4) No OT discussion for this control. Control Enhancement: (2) OT Discussion: When the OT (e.g., field devices) cannot support temporary or emergency accounts, this enhancement does not apply. Example compensating controls include employing nonautomated mechanisms or procedures. Control Enhancement: (5) OT Discussion: This control enhancement defines situations or timeframes in which users log out of accounts in the policy. Automatic enforcement is not addressed by this control enhancement. Organizations determine whether this control enhancement is appropriate for the mission and/or functions of the OT system and define the timeframe or scenarios. If no timeframe or scenarios apply, the organization-defined parameter reflects as much. Control Enhancement: (11) (12) No OT Discussion for this control. Control Enhancement: (13) OT Discussion: Close coordination occurs between OT, HR, IT, and physical security personnel to ensure the timely removal of high-risk individuals."
"AC-3","AC","Access Control","Access Enforcement","The organization ensures that access enforcement mechanisms do not adversely impact the operational performance of the OT. Example compensating controls include encapsulation. The policy for logical access control to non-addressable and non-routable system resources and the associated information is made explicit. Access control mechanisms include hardware, firmware, and software that control the device or have device access, such as device drivers and communications controllers. Physical access control may serve as a compensating control for logical access control. However, it may not provide sufficient granularity when users require access to different functions.","| CNTL | CONTROL NAME | | SUPPLEMENTED<br>CONTROL BASELINES | | | |--------------|-----------------------------------------------------------------------|--------|-----------------------------------|--------|--| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | | AC-3 | Access Enforcement | Select | Select | Select | | | AC-3<br>(11) | ACCESS ENFORCEMENT RESTRICT ACCESS TO SPECIFIC<br>INFORMATION TYPES | | | Add | | OT Discussion: The organization ensures that access enforcement mechanisms do not adversely impact the operational performance of the OT. Example compensating controls include encapsulation. The policy for logical access control to non-addressable and non-routable system resources and the associated information is made explicit. Access control mechanisms include hardware, firmware, and software that control the device or have device access, such as device drivers and communications controllers. Physical access control may serve as a compensating control for logical access control. However, it may not provide sufficient granularity when users require access to different functions. Control Enhancement: (11) OT Discussion: The organization identifies and restricts access to information that could impact the OT environment and accounts for information types that are sensitive, proprietary, contain trade secrets, or support safety functions. Rationale for adding AC-3 (11) to HIGH baseline: The loss of availability, integrity, and confidentiality of certain types of information that reside on a high-impact OT system may result in severe or catastrophic adverse effects on operations, assets, or individuals, including severe degradation or loss of mission capability, major damage to organizational assets, or harm to individuals involving the loss of life or life-threatening injuries."
"AC-4","AC","Access Control","Information Flow Enforcement","Information flow policy may be achieved using a combination of logical and physical flow restriction techniques. The inspection of message content may enforce information flow policy. For example, industrial OT protocols may be restricted using inbound and outbound traffic rules on a network control device between OT and IT networks. For non-routable communication, such as serial connections, devices may be configured to limit commands to and from specific tags within the OT device. The information flow policy may be supported by labeling or coloring physical connectors to aid in connecting networks. Devices that do not have a business need to communicate should not be connected (i.e., air gapped).","| CNTL | CONTROL NAME<br>Control Enhancement Name | CONTROL BASELINES | | | |----------|-------------------------------------------------------------------------|-------------------|--------|--------| | NO. | | LOW | MOD | HIGH | | AC-4 | Information Flow Enforcement | | Select | Select | | AC-4 (4) | INFORMATION FLOW ENFORCEMENT FLOW CONTROL OF<br>ENCRYPTED INFORMATION | | | Select | OT Discussion: Information flow policy may be achieved using a combination of logical and physical flow restriction techniques. The inspection of message content may enforce information flow policy. For example, industrial OT protocols may be restricted using inbound and outbound traffic rules on a network control device between OT and IT networks. For non-routable communication, such as serial connections, devices may be configured to limit commands to and from specific tags within the OT device. The information flow policy may be supported by labeling or coloring physical connectors to aid in connecting networks. Devices that do not have a business need to communicate should not be connected (i.e., air gapped). Control Enhancement: (4) No OT discussion for this control."
"AC-5","AC","Access Control","Separation Of Duties","Example compensating controls include providing increased personnel security and auditing. The organization carefully considers the appropriateness of a single individual performing multiple critical roles.","| CNTL<br>CONTROL NAME<br>NO.<br>Control Enhancement Name | | | CONTROL BASELINES | | |---------------------------------------------------------|----------------------|-----|-------------------|--------| | | | LOW | MOD | HIGH | | AC-5 | Separation of Duties | | Select | Select | OT Discussion: Example compensating controls include providing increased personnel security and auditing. The organization carefully considers the appropriateness of a single individual performing multiple critical roles."
"AC-6","AC","Access Control","Least Privilege","Example compensating controls include providing increased personnel security and auditing. The organization carefully considers the appropriateness of a single individual having multiple critical privileges. System privilege models may be tailored to enforce integrity and availability (e.g., lower privileges include read access, and higher privileges include write access).","| CNTL | CONTROL NAME | CONTROL BASELINES | | | | |--------------|----------------------------------------------------------------------------------------|-------------------|--------|--------|--| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | | AC-6 | Least Privilege | | Select | Select | | | AC-6 (1) | LEAST PRIVILEGE AUTHORIZE ACCESS TO SECURITY FUNCTIONS | | Select | Select | | | AC-6 (2) | LEAST PRIVILEGE NON-PRIVILEGED ACCESS FOR NONSECURITY<br>FUNCTIONS | | Select | Select | | | AC-6 (3) | LEAST PRIVILEGE NETWORK ACCESS TO PRIVILEGED COMMANDS | | | Select | | | AC-6 (5) | LEAST PRIVILEGE PRIVILEGED ACCOUNTS | | Select | Select | | | AC-6 (7) | LEAST PRIVILEGE REVIEW OF USER PRIVILEGES | | Select | Select | | | AC-6 (9) | LEAST PRIVILEGE LOG USE OF PRIVILEGED FUNCTIONS | | Select | Select | | | AC-6<br>(10) | LEAST PRIVILEGE PROHIBIT NON-PRIVILEGED USERS FROM<br>EXECUTING PRIVILEGED FUNCTIONS | | Select | Select | | OT Discussion: Example compensating controls include providing increased personnel security and auditing. The organization carefully considers the appropriateness of a single individual having multiple critical privileges. System privilege models may be tailored to enforce integrity and availability (e.g., lower privileges include read access, and higher privileges include write access). Control Enhancement: (1) (2) (3) (5) (9) OT Discussion: When OT components (e.g., PLCs) cannot support the logging of privileged functions, other system components within the authorization boundary may be used (e.g., engineering workstations or physical access monitoring). Control Enhancement: (7) No OT Discussion for this control. Control Enhancement: (10) OT Discussion: Example compensating controls include enhanced auditing."
"AC-7","AC","Access Control","Unsuccessful Logon Attempts","Many OT systems remain in continuous operation, and operators remain logged onto the system at all times. A ""log-over"" capability may be employed. Example compensating controls include logging or recording all unsuccessful logon attempts and alerting OT security personnel through alarms or other means when the number of organization-defined consecutive invalid access attempts is exceeded. Unsuccessful logon attempt limits are enforced for accounts (e.g., administrator) or systems (e.g., engineering workstations) that are not required for continuous operation.","| CNTL | CONTROL NAME | CONTROL BASELINES | | | |------|-----------------------------|-------------------|--------|--------| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | AC-7 | Unsuccessful Logon Attempts | Select | Select | Select | OT Discussion: Many OT systems remain in continuous operation, and operators remain logged onto the system at all times. A ""log-over"" capability may be employed. Example compensating controls include logging or recording all unsuccessful logon attempts and alerting OT security personnel through alarms or other means when the number of organization-defined consecutive invalid access attempts is exceeded. Unsuccessful logon attempt limits are enforced for accounts (e.g., administrator) or systems (e.g., engineering workstations) that are not required for continuous operation."
"AC-8","AC","Access Control","System Use Notification","Many OT systems must remain in continuous operation, and system use notification may not be supported or effective. Example compensating controls include posting physical notices in OT facilities or providing recurring training on system use prior to permitting access.","| | CNTL<br>CONTROL NAME<br>Control Enhancement Name<br>NO. | CONTROL BASELINES | | | |------|---------------------------------------------------------|-------------------|--------|--------| | | | LOW | MOD | HIGH | | AC-8 | System Use Notification | Select | Select | Select | OT Discussion: Many OT systems must remain in continuous operation, and system use notification may not be supported or effective. Example compensating controls include posting physical notices in OT facilities or providing recurring training on system use prior to permitting access."
"AC-10","AC","Access Control","Concurrent Session Control","The number, account type, and privileges of concurrent sessions consider the roles and responsibilities of the affected individuals. Example compensating controls include providing increased auditing measures.","| | CNTL<br>CONTROL NAME<br>Control Enhancement Name<br>NO. | CONTROL BASELINES | | | | |-------|---------------------------------------------------------|-------------------|-----|--------|--| | | | LOW | MOD | HIGH | | | AC-10 | Concurrent Session Control | | | Select | | OT Discussion: The number, account type, and privileges of concurrent sessions consider the roles and responsibilities of the affected individuals. Example compensating controls include providing increased auditing measures."
"AC-11","AC","Access Control","Device Lock","This control assumes a staffed environment where users interact with system displays. This control may be tailored appropriately where systems do not have displays configured, systems are placed in an access-controlled facility or locked enclosure, or immediate operator response is required in emergency situations. Example compensating controls include locating the display in an area with physical access controls that limit access to individuals with permission and need-to-know for the displayed information.","| CNTL | CONTROL NAME<br>NO.<br>Control Enhancement Name | CONTROL BASELINES | | | |--------------|-------------------------------------------------|-------------------|--------|--------| | | | LOW | MOD | HIGH | | AC-11 | Device Lock | | Select | Select | | AC-11<br>(1) | DEVICE LOCK PATTERN-HIDING DISPLAYS | | Select | Select | OT Discussion: This control assumes a staffed environment where users interact with system displays. This control may be tailored appropriately where systems do not have displays configured, systems are placed in an access-controlled facility or locked enclosure, or immediate operator response is required in emergency situations. Example compensating controls include locating the display in an area with physical access controls that limit access to individuals with permission and need-to-know for the displayed information. Control Enhancement: (1) OT Discussion: Physical protection may be employed to prevent access to a display or the attachment of a display. When the OT cannot conceal displayed information, the organization employs nonautomated mechanisms or procedures as compensating controls in accordance with the general tailoring guidance."
"AC-12","AC","Access Control","Session Termination","Example compensating controls include providing increased auditing measures or limiting remote access privileges to key personnel.","| CNTL<br>CONTROL NAME<br>NO.<br>Control Enhancement Name | | | CONTROL BASELINES | | |---------------------------------------------------------|---------------------|-----|-------------------|--------| | | | LOW | MOD | HIGH | | AC-12 | Session Termination | | Select | Select | OT Discussion: Example compensating controls include providing increased auditing measures or limiting remote access privileges to key personnel."
"AC-14","AC","Access Control","Permitted Actions Without Identification Or Authentication","","| CNTL | CONTROL NAME<br>Control Enhancement Name | CONTROL BASELINES | | | | |-------|------------------------------------------------------------|-------------------|--------|--------|--| | NO. | | LOW | MOD | HIGH | | | AC-14 | Permitted Actions without Identification or Authentication | Select | Select | Select | | No OT Discussion for this control."
"AC-17","AC","Access Control","Remote Access","When the OT cannot implement any or all of the components of this control, the organization employs other mechanisms or procedures as compensating controls in accordance with the general tailoring guidance.","| CNTL | CONTROL NAME | SUPPLEMENTED<br>CONTROL BASELINES | | | | |---------------|-------------------------------------------------------------------------------|-----------------------------------|--------|--------|--| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | | AC-17 | Remote Access | Select | Select | Select | | | AC-17<br>(1) | REMOTE ACCESS AUTOMATED MONITORING / CONTROL | | Select | Select | | | AC-17<br>(2) | REMOTE ACCESS PROTECTION OF CONFIDENTIALITY / INTEGRITY<br>USING ENCRYPTION | | Select | Select | | | AC-17<br>(3) | REMOTE ACCESS MANAGED ACCESS CONTROL POINTS | | Select | Select | | | AC-17<br>(4) | REMOTE ACCESS PRIVILEGED COMMANDS / ACCESS | | Select | Select | | | AC-17<br>(9) | REMOTE ACCESS DISCONNECT OR DISABLE ACCESS | Add | Add | Add | | | AC-17<br>(10) | REMOTE ACCESS AUTHENTICATE REMOTE COMMANDS | | Add | Add | | OT Discussion: When the OT cannot implement any or all of the components of this control, the organization employs other mechanisms or procedures as compensating controls in accordance with the general tailoring guidance. Control Enhancement: (1) OT Discussion: Example compensating controls include employing nonautomated mechanisms or procedures as compensating controls. Compensating controls could include limiting remote access to a specified period of time or placing a call from the OT site to the authenticated remote entity. Control Enhancement: (2) OT Discussion: Encryption-based technologies should be used to support the confidentiality and integrity of remote access sessions. While OT devices often lack the ability to support modern encryption, additional devices (e.g., VPNs) can be added to support these features. This control should not be confused with SC-8 – Transmission Confidentiality and Integrity, which discusses confidentiality and integrity requirements for general communications, including between OT devices. Control Enhancement: (3) OT Discussion: Example compensating controls include connectionspecific manual authentication of the remote entity. Control Enhancement: (4) (10) No OT Discussion for this control. Control Enhancement: (9) OT Discussion: Implementation of the remote access disconnect should not impact OT operations. OT personnel should be trained on how to use the remote access disconnect. Rationale for adding AC-17 (9) to LOW, MOD, and HIGH baselines: As more OT systems become accessible remotely, the capability to disconnect or disable remote access is critical to managing risk and may be required to provide stable and safe operations. Rationale for adding AC-17 (10) to MOD and HIGH baselines: The ability to authenticate remote commands is important to prevent unauthorized commands that may have immediate or serious consequences, such as injury, death, property damage, the loss of high-value assets, the failure of mission or business functions, or compromise of sensitive information. **AC-18 WIRELESS ACCESS** | CNTL | CONTROL NAME | CONTROL BASELINES | | | | |--------------|----------------------------------------------------------|-------------------|--------|--------|--| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | | AC-18 | Wireless Access | Select | Select | Select | | | AC-18<br>(1) | WIRELESS ACCESS AUTHENTICATION AND ENCRYPTION | | Select | Select | | | AC-18<br>(3) | WIRELESS ACCESS DISABLE WIRELESS NETWORKING | | Select | Select | | | AC-18<br>(4) | WIRELESS ACCESS RESTRICT CONFIGURATIONS BY USERS | | | Select | | | AC-18<br>(5) | WIRELESS ACCESS ANTENNAS AND TRANSMISSION POWER LEVELS | | | Select | | OT Discussion: When OT cannot implement any or all of the components of this control, the organization employs other mechanisms or procedures as compensating controls in accordance with the general tailoring guidance. Control Enhancement: (1) OT Discussion: The implementation of authentication and encryption is driven by the OT environment. If devices and users cannot all be authenticated and encrypted due to operational or technology constraints, compensating controls include providing increased auditing for wireless access, limiting wireless access privileges to key personnel, or using AC-18 (5) to reduce the boundary of wireless access. Control Enhancement: (3) (4) No OT Discussion for this control. Control Enhancement: (5) Availability and interference for wireless signals may be a concern within OT environments. Antennas and power levels should be designed to overcome and achieve availability goals. Where confidentiality is concerned, antennas and power levels can also be designed to minimize signal exposure outside of the facility."
"AC-19","AC","Access Control","Access Control For Mobile Devices","","| CNTL | CONTROL NAME | CONTROL BASELINES | | | | |--------------|---------------------------------------------------------------------------------|-------------------|--------|--------|--| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | | AC-19 | Access Control for Mobile Devices | Select | Select | Select | | | AC-19<br>(5) | ACCESS CONTROL FOR MOBILE DEVICES FULL DEVICE /<br>CONTAINER-BASED ENCRYPTION | | Select | Select | | No OT Discussion for this control."
"AC-20","AC","Access Control","Use Of External Systems","Organizations refine the definition of ""external"" to reflect lines of authority and responsibility, the granularity of an organization entity, and their relationships. An organization may consider a system to be external if that system performs different functions, implements different policies, falls under different management authorities, or does not provide sufficient visibility into the implementation of controls to allow the establishment of a satisfactory trust relationship. For example, an OT system and a business data processing system may be considered external to each other depending on the organization's system boundaries. Access to an OT for support by a business partner, such as a vendor or support contractor, is another common example. The definition and trustworthiness of external systems is reexamined with respect to OT functions, purposes, technology, and limitations to establish a clearly documented technical or business case for use and an acceptance of the risk inherent in the use of an external system.","| CNTL | CONTROL NAME | | CONTROL BASELINES | | | |--------------|----------------------------------------------------|--------|-------------------|--------|--| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | | AC-20 | Use of External Systems | Select | Select | Select | | | AC-20<br>(1) | USE OF EXTERNAL SYSTEMS LIMITS ON AUTHORIZED USE | | Select | Select | | | AC-20<br>(2) | USE OF EXTERNAL SYSTEMS PORTABLE STORAGE MEDIA | | Select | Select | | OT Discussion: Organizations refine the definition of ""external"" to reflect lines of authority and responsibility, the granularity of an organization entity, and their relationships. An organization may consider a system to be external if that system performs different functions, implements different policies, falls under different management authorities, or does not provide sufficient visibility into the implementation of controls to allow the establishment of a satisfactory trust relationship. For example, an OT system and a business data processing system may be considered external to each other depending on the organization's system boundaries. Access to an OT for support by a business partner, such as a vendor or support contractor, is another common example. The definition and trustworthiness of external systems is reexamined with respect to OT functions, purposes, technology, and limitations to establish a clearly documented technical or business case for use and an acceptance of the risk inherent in the use of an external system. Control Enhancement: (1) (2) No OT Discussion for this control."
"AC-21","AC","Access Control","Information Sharing","","| | CNTL<br>CONTROL NAME<br>Control Enhancement Name<br>NO. | CONTROL BASELINES | | | |-------|---------------------------------------------------------|-------------------|--------|--------| | | | LOW | MOD | HIGH | | AC-21 | Information Sharing | | Select | Select | No OT Discussion for this control."
"AC-22","AC","Access Control","Publicly Accessible Content","Generally, public access to OT systems is not permitted. Select information may be transferred to a publicly accessible system, possibly with added controls. The organization should review what information is being made accessible prior to publication. ## <span id=""page-251-0""></span>**F.7.2. AWARENESS AND TRAINING – AT**","| CNTL | CONTROL NAME<br>Control Enhancement Name | CONTROL BASELINES | | | |-------|------------------------------------------|-------------------|--------|--------| | NO. | | LOW | MOD | HIGH | | AC-22 | Publicly Accessible Content | Select | Select | Select | OT Discussion: Generally, public access to OT systems is not permitted. Select information may be transferred to a publicly accessible system, possibly with added controls. The organization should review what information is being made accessible prior to publication. ## <span id=""page-251-0""></span>**F.7.2. AWARENESS AND TRAINING – AT**"
"AT-1","AT","Awareness and Training","Policy And Procedures","The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems.","| CNTL | CONTROL NAME<br>Control Enhancement Name | CONTROL BASELINES | | | |------|------------------------------------------|-------------------|--------|--------| | NO. | | LOW | MOD | HIGH | | AT-1 | Policy and Procedures | Select | Select | Select | OT Discussion: The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems."
"AT-2","AT","Awareness and Training","Literacy Training And Awareness","Security awareness training includes initial and periodic review of OT-specific policies, standard operating procedures, security trends, and vulnerabilities. The OT security awareness program is consistent with the requirements of the security awareness and training policy established by the organization.","| CNTL | CONTROL NAME<br>Control Enhancement Name | SUPPLEMENTED<br>CONTROL BASELINES | | | |----------|----------------------------------------------------------------------------------------------|-----------------------------------|--------|--------| | NO. | | LOW | MOD | HIGH | | AT-2 | Literacy Training and Awareness | Select | Select | Select | | AT-2 (2) | LITERACY TRAINING AND AWARENESS INSIDER THREAT | Select | Select | Select | | AT-2 (3) | LITERACY TRAINING AND AWARENESS SOCIAL ENGINEERING AND<br>MINING | | Select | Select | | AT-2 (4) | LITERACY TRAINING AND AWARENESS SUSPICIOUS<br>COMMUNICATIONS AND ANOMALOUS SYSTEM BEHAVIOR | | Add | Add | OT Discussion: Security awareness training includes initial and periodic review of OT-specific policies, standard operating procedures, security trends, and vulnerabilities. The OT security awareness program is consistent with the requirements of the security awareness and training policy established by the organization. Control Enhancement: (2) (3) No OT Discussion for this control. Control Enhancement: (4) OT Discussion: Identify and communicate suspicious and anomalous behaviors within the OT environment. Some examples of OT suspicious or anomalous behavior may include a PLC still in programming mode when it is expected to be in run mode, process trips with an undetermined root cause, malware on an HMI, unexpected mouse movement, or process changes that are not being performed by the operator. Rationale for adding AT-2 (4) to MOD and HIGH baselines: Training OT personnel on potentially suspicious communications and anomalous behaviors as well as the actions to take if anomalous system behavior occurs can supplement system detection and protection mechanisms for improved response."
"AT-3","AT","Awareness and Training","Role-Based Training","Security training includes initial and periodic review of OT-specific policies, standard operating procedures, security trends, and vulnerabilities. The OT security training program is consistent with the requirements of the security awareness and training policy established by the organization. The training may be customized for specific OT roles, which could include operators, maintainers, engineers, supervisors, and administrators.","| | CNTL<br>CONTROL NAME<br>NO.<br>Control Enhancement Name | CONTROL BASELINES | | | |------|---------------------------------------------------------|-------------------|--------|--------| | | | LOW | MOD | HIGH | | AT-3 | Role-Based Training | Select | Select | Select | OT Discussion: Security training includes initial and periodic review of OT-specific policies, standard operating procedures, security trends, and vulnerabilities. The OT security training program is consistent with the requirements of the security awareness and training policy established by the organization. The training may be customized for specific OT roles, which could include operators, maintainers, engineers, supervisors, and administrators."
"AT-4","AT","Awareness and Training","Training Records","","| CNTL<br>NO. | CONTROL NAME | CONTROL BASELINES | | | |-------------|--------------------------|-------------------|--------|--------| | | Control Enhancement Name | LOW | MOD | HIGH | | AT-4 | Training Records | Select | Select | Select | No OT Discussion for this control. ## <span id=""page-252-0""></span>**F.7.3. AUDITING AND ACCOUNTABILITY – AU** ## **Tailoring Considerations for the Audit Family** In general, security audit information and audit tools are not available on legacy OT. When OT cannot support the specific audit and accountability requirements of a control, the organization employs compensating controls in accordance with the general tailoring guidance. For example, organizations may want to consider whether security audit information is available from separate systems or system components (e.g., the historian, firewall logs, physical security systems). Additional examples of compensating controls are given with each control as appropriate."
"AU-1","AU","Audit and Accountability","Audit And Accountability Policy And Procedures","The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems.","| | CNTL<br>CONTROL NAME<br>Control Enhancement Name<br>NO. | CONTROL BASELINES | | | |------|---------------------------------------------------------|-------------------|--------|--------| | | | LOW | MOD | HIGH | | AU-1 | Policy and Procedures | Select | Select | Select | OT Discussion: The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems."
"AU-2","AU","Audit and Accountability","Event Logging","Organizations may want to include relevant OT events (e.g., alerts, alarms, configuration and status changes, operator actions) in their event logging, which may be designated as audit events.","| CNTL | CONTROL NAME | | CONTROL BASELINES | | |------|--------------------------|--------|-------------------|--------| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | AU-2 | Event Logging | Select | Select | Select | OT Discussion: Organizations may want to include relevant OT events (e.g., alerts, alarms, configuration and status changes, operator actions) in their event logging, which may be designated as audit events."
"AU-3","AU","Audit and Accountability","Content Of Audit Records","","| CNTL | CONTROL NAME<br>Control Enhancement Name<br>NO. | CONTROL BASELINES | | | | |----------|---------------------------------------------------------|-------------------|--------|--------|--| | | | LOW | MOD | HIGH | | | AU-3 | Content of Audit Records | Select | Select | Select | | | AU-3 (1) | CONTENT OF AUDIT RECORDS ADDITIONAL AUDIT INFORMATION | | Select | Select | | No OT Discussion for this control."
"AU-4","AU","Audit and Accountability","Audit Log Storage Capacity","","| CNTL | CONTROL NAME | | SUPPLEMENTED<br>CONTROL BASELINES | | | | |----------|---------------------------------------------------------------|--------|-----------------------------------|--------|--|--| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | | | AU-4 | Audit Log Storage Capacity | Select | Select | Select | | | | AU-4 (1) | AUDIT LOG STORAGE CAPACITY TRANSFER TO ALTERNATE<br>STORAGE | Add | Add | Add | | | No OT Discussion for this control. Rationale for adding AU-4 (1) to LOW, MOD, and HIGH baselines: Organizational requirements may require the storage of very large amounts of data, which OT components may not be able to support directly."
"AU-5","AU","Audit and Accountability","Response To Audit Logging Process Failures","","| CNTL | CONTROL NAME | | CONTROL BASELINES | | | | |----------|------------------------------------------------------------------------|--------|-------------------|--------|--|--| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | | | AU-5 | Response to Audit Logging Process Failures | Select | Select | Select | | | | AU-5 (1) | RESPONSE TO AUDIT LOGGING PROCESS FAILURES AUDIT STORAGE<br>CAPACITY | | | Select | | | | AU-5 (2) | RESPONSE TO AUDIT LOGGING PROCESS FAILURES REAL-TIME<br>ALERTS | | | Select | | | No OT Discussion for this control."
"AU-6","AU","Audit and Accountability","Audit Record Review, Analysis, And Reporting","Example compensating controls include manual mechanisms or procedures. For devices where audit records cannot be feasibly collected, periodic manual review may be necessary.","| CNTL | CONTROL NAME<br>Control Enhancement Name | CONTROL BASELINES | | | | |----------|----------------------------------------------------------------------------------------|-------------------|--------|--------|--| | NO. | | LOW | MOD | HIGH | | | AU-6 | Audit Review, Analysis, and Reporting | Select | Select | Select | | | AU-6 (1) | AUDIT RECORD REVIEW, ANALYSIS, AND REPORTING AUTOMATED<br>PROCESS INTEGRATION | | Select | Select | | | AU-6 (3) | AUDIT RECORD REVIEW, ANALYSIS, AND REPORTING CORRELATE<br>AUDIT RECORD REPOSITORIES | | Select | Select | | | AU-6 (5) | AUDIT RECORD REVIEW, ANALYSIS, AND REPORTING INTEGRATED<br>ANALYSIS OF AUDIT RECORDS | | | Select | | | AU-6 (6) | AUDIT RECORD REVIEW, ANALYSIS, AND REPORTING CORRELATION<br>WITH PHYSICAL MONITORING | | | Select | | No OT Discussion for this control. Control Enhancement: (1) OT Discussion: Example compensating controls include manual mechanisms or procedures. For devices where audit records cannot be feasibly collected, periodic manual review may be necessary. Control Enhancement: (3) (5) (6) No OT Discussion for this control."
"AU-7","AU","Audit and Accountability","Audit Record Reduction And Report Generation","","| CNTL | CONTROL NAME | | CONTROL BASELINES | | | |----------|------------------------------------------------------------------------|-----|-------------------|--------|--| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | | AU-7 | Audit Record Reduction and Report Generation | | Select | Select | | | AU-7 (1) | AUDIT RECORD REDUCTION AND REPORT GENERATION <br>AUTOMATIC PROCESSING | | Select | Select | |"
"AU-8","AU","Audit and Accountability","Time Stamps","Example compensating controls include using a separate system designated as an authoritative time source. See related control SC-45.","| | CNTL<br>CONTROL NAME<br>NO.<br>Control Enhancement Name | CONTROL BASELINES | | | | |------|---------------------------------------------------------|-------------------|--------|--------|--| | | | LOW | MOD | HIGH | | | AU-8 | Time Stamps | Select | Select | Select | | OT Discussion: Example compensating controls include using a separate system designated as an authoritative time source. See related control SC-45."
