"control_id","family","family_name","title","ot_discussion","content"
"PE-13","PE","Physical and Environmental Protection","Fire Protection","Fire suppression mechanisms should take the OT environment into account (e.g., water sprinkler systems could be hazardous in specific environments).","| CNTL | CONTROL NAME | CONTROL BASELINES | | | |-----------|----------------------------------------------------------------------------------|-------------------|--------|--------| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | PE-13 | Fire Protection | Select | Select | Select | | PE-13 (1) | FIRE PROTECTION DETECTION SYSTEMS – AUTOMATIC ACTIVATION<br>AND NOTIFICATION | | Select | Select | | PE-13 (2) | FIRE PROTECTION SUPPRESSION SYSTEMS – AUTOMATIC<br>ACTIVATION AND NOTIFICATION | | | Select | OT Discussion: Fire suppression mechanisms should take the OT environment into account (e.g., water sprinkler systems could be hazardous in specific environments). Control Enhancement: (1) (2) No OT Discussion for this control."
"PE-14","PE","Physical and Environmental Protection","Environmental Controls","Temperature and humidity controls are typically components of other OT systems (e.g., HVAC, process, or lighting systems) or can be a stand-alone and unique OT system. OT can operate in extreme environments and both interior and exterior locations. For a specific OT, the temperature and humidity design and operational parameters dictate the performance specifications. Power circuits, distribution closets, routers, and switches that support fire protection and life safety systems must be maintained at the proper temperature and humidity. When environmental controls cannot be implemented, use hardware that is engineered to withstand the OT's unique environmental hazards.","| CNTL | CONTROL NAME | | CONTROL BASELINES | | | |-------|--------------------------|--------|-------------------|--------|--| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | | PE-14 | Environmental Controls | Select | Select | Select | | OT Discussion: Temperature and humidity controls are typically components of other OT systems (e.g., HVAC, process, or lighting systems) or can be a stand-alone and unique OT system. OT can operate in extreme environments and both interior and exterior locations. For a specific OT, the temperature and humidity design and operational parameters dictate the performance specifications. Power circuits, distribution closets, routers, and switches that support fire protection and life safety systems must be maintained at the proper temperature and humidity. When environmental controls cannot be implemented, use hardware that is engineered to withstand the OT's unique environmental hazards."
"PE-15","PE","Physical and Environmental Protection","Water Damage Protection","Water damage protection and the use of shutoff and isolation valves are procedural actions and specific types of OT. OT used in the manufacturing, hydropower, transportation/navigation, water, and wastewater industries rely on the movement of water and are specifically designed to manage the quantity, flow, and pressure of water. Power circuits, distribution closets, routers, and switches that support fire protection and life safety systems should ensure that water will not disable the system (e.g., a fire that activates the sprinkler system does not spray onto the fire control servers, routers, or switches or short out the alarms, egress systems, emergency lighting, or suppression systems).","| CNTL | CONTROL NAME | | CONTROL BASELINES | | | | |-----------|----------------------------------------------|--------|-------------------|--------|--|--| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | | | PE-15 | Water Damage Protection | Select | Select | Select | | | | PE-15 (1) | WATER DAMAGE PROTECTION AUTOMATION SUPPORT | | | Select | | | OT Discussion: Water damage protection and the use of shutoff and isolation valves are procedural actions and specific types of OT. OT used in the manufacturing, hydropower, transportation/navigation, water, and wastewater industries rely on the movement of water and are specifically designed to manage the quantity, flow, and pressure of water. Power circuits, distribution closets, routers, and switches that support fire protection and life safety systems should ensure that water will not disable the system (e.g., a fire that activates the sprinkler system does not spray onto the fire control servers, routers, or switches or short out the alarms, egress systems, emergency lighting, or suppression systems). Control Enhancement: (1) No OT Discussion for this control."
"PE-16","PE","Physical and Environmental Protection","Delivery And Removal","","| CNTL | CONTROL NAME | CONTROL BASELINES | | | | |-------|--------------------------|-------------------|--------|--------|--| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | | PE-16 | Delivery and Removal | Select | Select | Select | | No OT Discussion for this control."
"PE-17","PE","Physical and Environmental Protection","Alternate Work Site","","| CNTL | CONTROL NAME | CONTROL BASELINES | | | |-------|--------------------------|-------------------|--------|--------| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | PE-17 | Alternate Work Site | | Select | Select | No OT Discussion for this control."
"PE-18","PE","Physical and Environmental Protection","Location Of System Components","","| CNTL | CONTROL NAME | CONTROL BASELINES | | | |-------|-------------------------------|-------------------|-----|--------| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | PE-18 | Location of System Components | | | Select | No OT Discussion for this control."
"PE-21","PE","Physical and Environmental Protection","Electromagnetic Pulse Protection","Organizations that manage OT equipment may choose to utilize EMP protection to prevent adversarial or environmental electromagnetic threats. Organizations may select to follow National Coordinating Center for Communications (NCC) [guidelines on EM pulse](https://www.cisa.gov/sites/default/files/publications/19_0307_CISA_EMP-Protection-Resilience-Guidelines.pdf) [protection.](https://www.cisa.gov/sites/default/files/publications/19_0307_CISA_EMP-Protection-Resilience-Guidelines.pdf)","| CNTL | CONTROL NAME | CONTROL BASELINES | | | | |-------|----------------------------------|-------------------|-----|------|--| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | | PE-21 | Electromagnetic Pulse Protection | | | | | OT Discussion: Organizations that manage OT equipment may choose to utilize EMP protection to prevent adversarial or environmental electromagnetic threats. Organizations may select to follow National Coordinating Center for Communications (NCC) [guidelines on EM pulse](https://www.cisa.gov/sites/default/files/publications/19_0307_CISA_EMP-Protection-Resilience-Guidelines.pdf) [protection.](https://www.cisa.gov/sites/default/files/publications/19_0307_CISA_EMP-Protection-Resilience-Guidelines.pdf)"
"PE-22","PE","Physical and Environmental Protection","Component Marking","Hardware components are marked or labeled to indicate information that is processed, stored, or transmitted. Component markings can be useful for differentiating between safety and control systems, OT and IT equipment, and internally and externally connected systems. Marking components reduces the probability of mismanaging the system or performing maintenance on an incorrect device. Rationale for adding PE-22 to MOD and HIGH baselines: OT is unique in that it may look like an IT component but perform a very different function. Visible differentiation between components that perform different functions can help reduce reliability incidents due to maintenance errors. ## <span id=""page-283-0""></span>**F.7.12. PLANNING – PL**","| CNTL | CONTROL NAME | SUPPLEMENTED<br>CONTROL BASELINES | | | |-------|--------------------------|-----------------------------------|-----|------| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | PE-22 | Component Marking | | Add | Add | OT Discussion: Hardware components are marked or labeled to indicate information that is processed, stored, or transmitted. Component markings can be useful for differentiating between safety and control systems, OT and IT equipment, and internally and externally connected systems. Marking components reduces the probability of mismanaging the system or performing maintenance on an incorrect device. Rationale for adding PE-22 to MOD and HIGH baselines: OT is unique in that it may look like an IT component but perform a very different function. Visible differentiation between components that perform different functions can help reduce reliability incidents due to maintenance errors. ## <span id=""page-283-0""></span>**F.7.12. PLANNING – PL**"
"PL-1","PL","Planning","Policy And Procedures","The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems.","| CNTL | CONTROL NAME | CONTROL BASELINES | | | |------|--------------------------|-------------------|--------|--------| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | PL-1 | Policy and Procedures | Select | Select | Select | OT Discussion: The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems."
"PL-2","PL","Planning","System Security And Privacy Plans","When systems are highly interconnected, coordinated planning is essential. A low-impact system could adversely affect a higher-impact system.","| CNTL | CONTROL NAME | CONTROL BASELINES | | | |------|-----------------------------------|-------------------|--------|--------| | NO. | Control Enhancement Name | LOW | MOD | HIGH | | PL-2 | System Security and Privacy Plans | Select | Select | Select | OT Discussion: When systems are highly interconnected, coordinated planning is essential. A low-impact system could adversely affect a higher-impact system."
