"section","id","title","part","chapter","content"
"9","section-9","British citizenship immaterial.","","","1Except as provided by section 5(1A),In any proceedings brought in England and Wales in respect of any offence to which this section applies it is immaterial to guilt whether or not the accused was a British citizen at the time of any act, omission or other event proof of which is required for conviction of the offence.2This section applies to the following offences—aany offence under this Act ;b. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .cany attempt to commit an offence under this Act; andd. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
"10","section-10","Savings","","","Sections 1 to 3A have effect without prejudice to the operation—in England and Wales of any enactment relating to powers of inspection, search or seizureor of any other enactment by virtue of which the conduct in question is authorised or required; andin Scotland of any enactment or rule of law relating to powers of examination, search or seizureor of any other enactment or rule of law by virtue of which the conduct in question is authorised or requiredand nothing designed to indicate a withholding of consent to access to any program or data from persons as enforcement officers shall have effect to make access unauthorised for the purposes of any of those sections. In this section— “ enactment ” means any enactment, whenever passed or made, contained in— an Act of Parliament;an Act of the Scottish Parliament;a Measure or Act of the National Assembly for Wales;an instrument made under any such Act or Measure;any other subordinate legislation (within the meaning of the Interpretation Act 1978); “ enforcement officer ” means a constable or other person charged with the duty of investigating offences; and withholding consent from a person “as” an enforcement officer of any description includes the operation, by the person entitled to control access, of rules whereby enforcement officers of that description are, as such, disqualified from membership of a class of persons who are authorised to have access."
"11","section-11","Proceedings for offences under section 1.","","",". . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
"12","section-12","Conviction of an offence under section 1 in proceedings for an offence under section 2 or 3.","","",". . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
"13","section-13","Proceedings in Scotland.","","","1A sheriff shall have jurisdiction in respect of an offence under section 1 or 2 above if—athe accused was in the sheriffdom at the time when he did the act which caused the computer to perform the function; orbany computer containing any program or data to which the accused by doing that act secured or intended to secure unauthorised access, or enabled or intended to enable unauthorised access to be secured, was in the sheriffdom at that time.2A sheriff shall have jurisdiction in respect of an offence under section 3 above if—athe accused was in the sheriffdom at the time when he did the unauthorised act (or caused it to be done) ; orbthe unauthorised act was done in relation to a computer in the sheriffdom.2AA sheriff shall have jurisdiction in respect of an offence under section 3ZA above if—athe accused was in the sheriffdom at the time when he did the unauthorised act (or caused it to be done), orbthe computer in relation to which the unauthorised act was done was in the sheriffdom at that time.2BA sheriff shall have jurisdiction in respect of an offence under section 3A above if—athe accused was in the sheriffdom at the time when—ihe made, adapted, supplied or offered to supply the article intending it to be used as mentioned in subsection (1) of that section,iihe supplied or offered to supply the article believing that it would be used as mentioned in subsection (2) of that section, oriiihe obtained the article intending to use it, or with a view to its being supplied for use, as mentioned in subsection (3) of that section; orbthe offence related to the commission of an offence under section 1, 3 or 3ZA above (in the way described in subsections (1) to (3) of section 3A above) and any computer as mentioned in subsection (1)(b), (2)(b) or (2A)(b) of this section was in the sheriffdom at the time the accused carried out the act constituting the offence under section 3A above.3. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .4. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .5. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .6. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .7. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .8In proceedings in which a person is charged with an offence under section 2 or 3 above and is found not guilty or is acquitted of that charge, he may be found guilty of an offence under section 1 above if on the facts shown he could have been found guilty of that offence in proceedings for that offence . . . .9Subsection (8) above shall apply whether or not an offence under section 1 above has been libelled in the complaint or indictment.10A person found guilty of an offence under section 1 above by virtue of subsection (8) above shall be liable, in respect of that offence, only to the penalties set out in section 1.10AWhere an offence under section 1, 3, 3ZA or 3A above is committed outside Scotland, the person committing the offence may be prosecuted, tried and punished for the offence—ain any sheriff court district in Scotland in which the person is apprehended or is in custody, orbin such sheriff court district as the Lord Advocate may direct,as if the offence had been committed in that district; and the offence is, for all purposes incidental to or consequential on the trial or punishment, deemed to have been committed in that district.11This section extends to Scotland only."
"14","section-14","Search warrants for offences under section 1.","","",". . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
"15","section-15","Extradition where Schedule 1 to the Extradition Act 1989 applies.","","",". . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
"16","section-16","Application to Northern Ireland.","","","1The following provisions of this section have effect for applying this Act in relation to Northern Ireland with the modifications there mentioned.1AIn section 1(3)(a)—athe reference to England and Wales shall be read as a reference to Northern Ireland; andbthe reference to the general limit in a magistrates’ court shall be read as a reference to six months.2In section 2(2)(b)—athe reference to England and Wales shall be read as a reference to Northern Ireland; andbthe reference to section 33 of the Magistrates’ Courts Act 1980 shall be read as a reference to Article 46(4) of the Magistrates’ Courts (Northern Ireland) Order 1981.2AIn section 2(5)(a)—athe reference to England and Wales shall be read as a reference to Northern Ireland; andbthe reference to the general limit in a magistrates’ court shall be read as a reference to six months.3. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .3AIn section 3(6)(a)—athe reference to England and Wales shall be read as a reference to Northern Ireland; andbthe reference to the general limit in a magistrates’ court shall be read as a reference to six months.3BIn section 3A(5)(a)—athe reference to England and Wales shall be read as a reference to Northern Ireland; andbthe reference to the general limit in a magistrates’ court shall be read as a reference to six months.4Subsection (7) below shall apply in substitution for subsection (3) of section 7; . . . .5. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .6. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .7The following paragraphs shall be inserted after Article 3(1) of that Order—1ASubject to section 8 of the Computer Misuse Act 1990 (relevance of external law), if this paragraph applies to an act, what the person doing it had in view shall be treated as an offence to which this Article applies.1BParagraph (1A) above applies to an act if—ait is done in Northern Ireland; andbit would fall within paragraph (1) as more than merely preparatory to the commission of an offence under section 3 of the Computer Misuse Act 1990 but for the fact that the offence, if completed, would not be an offence triable in Northern Ireland..8In section 8—a . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .bthe reference in subsection (3) to section 1(1A) of the Criminal Attempts Act 1981 shall be read as a reference to Article 3(1A) of that Order.9The references in sections 9(1) and 10 to England and Wales shall be read as references to Northern Ireland.9AIn section 10 the definition of “enactment” shall be read as including a reference to an enactment, whenever passed or made, contained in Northern Ireland legislation or in an instrument made under such legislation.10. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .11. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .12. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
"16A","section-16A","Northern Ireland: search warrants for offences under section 1","","","1Where a county court judge is satisfied by information on oath given by a constable that there are reasonable grounds for believing—athat an offence under section 1 above has been or is about to be committed in any premises, andbthat evidence that such an offence has been or is about to be committed is in those premises,he may issue a warrant authorising a constable to enter and search the premises, using such reasonable force as is necessary.2The power conferred by subsection (1) above does not extend to authorising a search for material of the kinds mentioned in Article 11(2) of the Police and Criminal Evidence (Northern Ireland) Order 1989 (privileged, excluded and special procedure material).3A warrant under this section—amay authorise persons to accompany any constable executing the warrant; andbremains in force for twenty-eight days from the date of its issue.4In exercising a warrant issued under this section a constable may seize an article if he reasonably believes that it is evidence that an offence under section 1 above has been or is about to be committed.5 In this section “ premises ” includes land, buildings, movable structures, vehicles, vessels, aircraft and hovercraft. 6This section extends only to Northern Ireland."
"17","section-17","Interpretation.","","","1The following provisions of this section apply for the interpretation of this Act.2A person secures access to any program or data held in a computer if by causing a computer to perform any function he—aalters or erases the program or data;bcopies or moves it to any storage medium other than that in which it is held or to a different location in the storage medium in which it is held;cuses it; ordhas it output from the computer in which it is held (whether by having it displayed or in any other manner);and references to access to a program or data (and to an intent to secure such access or to enable such access to be secured) shall be read accordingly.3For the purposes of subsection (2)(c) above a person uses a program if the function he causes the computer to perform—acauses the program to be executed; orbis itself a function of the program.4For the purposes of subsection (2)(d) above—aa program is output if the instructions of which it consists are output; andbthe form in which any such instructions or any other data is output (and in particular whether or not it represents a form in which, in the case of instructions, they are capable of being executed or, in the case of data, it is capable of being processed by a computer) is immaterial.5Access of any kind by any person to any program or data held in a computer is unauthorised if—ahe is not himself entitled to control access of the kind in question to the program or data; andbhe does not have consent to access by him of the kind in question to the program or data from any person who is so entitled but this subsection is subject to section 10.6References to any program or data held in a computer include references to any program or data held in any removable storage medium which is for the time being in the computer; and a computer is to be regarded as containing any program or data held in any such medium.7. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .8An act done in relation to a computer is unauthorised if the person doing the act (or causing it to be done)—ais not himself a person who has responsibility for the computer and is entitled to determine whether the act may be done; andbdoes not have consent to the act from any such person. In this subsection “ act ” includes a series of acts. 9References to the home country concerned shall be read in accordance with section 4(6) above.10References to a program include references to part of a program."
"18","section-18","Citation, commencement etc.","","","1This Act may be cited as the Computer Misuse Act 1990.2This Act shall come into force at the end of the period of two months beginning with the day on which it is passed.3An offence is not committed under this Act unless every act or other event proof of which is required for conviction of the offence takes place after this Act comes into force."
