"objective","objective_definition","objective_loss_meaning","level","level_qualifier","level_amplification","impact_description"
"Confidentiality","Preserving authorized restrictions on information access and disclosure, including means for protecting personal privacy and proprietary information.","the unauthorized disclosure of information.","LOW","limited","A limited adverse effect means that, for example, the loss of confidentiality, integrity, or availability might: (i) cause a degradation in mission capability to an extent and duration that the organization is able to perform its primary functions, but the effectiveness of the functions is noticeably reduced; (ii) result in minor damage to organizational assets; (iii) result in minor financial loss; or (iv) result in minor harm to individuals.","The unauthorized disclosure of information could be expected to have a limited adverse effect on organizational operations, organizational assets, or individuals."
"Confidentiality","Preserving authorized restrictions on information access and disclosure, including means for protecting personal privacy and proprietary information.","the unauthorized disclosure of information.","MODERATE","serious","A serious adverse effect means that, for example, the loss of confidentiality, integrity, or availability might: (i) cause a significant degradation in mission capability to an extent and duration that the organization is able to perform its primary functions, but the effectiveness of the functions is significantly reduced; (ii) result in significant damage to organizational assets; (iii) result in significant financial loss; or (iv) result in significant harm to individuals that does not involve loss of life or serious life threatening injuries.","The unauthorized disclosure of information could be expected to have a serious adverse effect on organizational operations, organizational assets, or individuals."
"Confidentiality","Preserving authorized restrictions on information access and disclosure, including means for protecting personal privacy and proprietary information.","the unauthorized disclosure of information.","HIGH","severe or catastrophic","A severe or catastrophic adverse effect means that, for example, the loss of confidentiality, integrity, or availability might: (i) cause a severe degradation in or loss of mission capability to an extent and duration that the organization is not able to perform one or more of its primary functions; (ii) result in major damage to organizational assets; (iii) result in major financial loss; or (iv) result in severe or catastrophic harm to individuals involving loss of life or serious life threatening injuries.","The unauthorized disclosure of information could be expected to have a severe or catastrophic adverse effect on organizational operations, organizational assets, or individuals."
"Integrity","Guarding against improper information modification or destruction, and includes ensuring information non-repudiation and authenticity.","the unauthorized modification or destruction of information.","LOW","limited","A limited adverse effect means that, for example, the loss of confidentiality, integrity, or availability might: (i) cause a degradation in mission capability to an extent and duration that the organization is able to perform its primary functions, but the effectiveness of the functions is noticeably reduced; (ii) result in minor damage to organizational assets; (iii) result in minor financial loss; or (iv) result in minor harm to individuals.","The unauthorized modification or destruction of information could be expected to have a limited adverse effect on organizational operations, organizational assets, or individuals."
"Integrity","Guarding against improper information modification or destruction, and includes ensuring information non-repudiation and authenticity.","the unauthorized modification or destruction of information.","MODERATE","serious","A serious adverse effect means that, for example, the loss of confidentiality, integrity, or availability might: (i) cause a significant degradation in mission capability to an extent and duration that the organization is able to perform its primary functions, but the effectiveness of the functions is significantly reduced; (ii) result in significant damage to organizational assets; (iii) result in significant financial loss; or (iv) result in significant harm to individuals that does not involve loss of life or serious life threatening injuries.","The unauthorized modification or destruction of information could be expected to have a serious adverse effect on organizational operations, organizational assets, or individuals."
"Integrity","Guarding against improper information modification or destruction, and includes ensuring information non-repudiation and authenticity.","the unauthorized modification or destruction of information.","HIGH","severe or catastrophic","A severe or catastrophic adverse effect means that, for example, the loss of confidentiality, integrity, or availability might: (i) cause a severe degradation in or loss of mission capability to an extent and duration that the organization is not able to perform one or more of its primary functions; (ii) result in major damage to organizational assets; (iii) result in major financial loss; or (iv) result in severe or catastrophic harm to individuals involving loss of life or serious life threatening injuries.","The unauthorized modification or destruction of information could be expected to have a severe or catastrophic adverse effect on organizational operations, organizational assets, or individuals."
"Availability","Ensuring timely and reliable access to and use of information.","the disruption of access to or use of information or an information system.","LOW","limited","A limited adverse effect means that, for example, the loss of confidentiality, integrity, or availability might: (i) cause a degradation in mission capability to an extent and duration that the organization is able to perform its primary functions, but the effectiveness of the functions is noticeably reduced; (ii) result in minor damage to organizational assets; (iii) result in minor financial loss; or (iv) result in minor harm to individuals.","The disruption of access to or use of information or an information system could be expected to have a limited adverse effect on organizational operations, organizational assets, or individuals."
"Availability","Ensuring timely and reliable access to and use of information.","the disruption of access to or use of information or an information system.","MODERATE","serious","A serious adverse effect means that, for example, the loss of confidentiality, integrity, or availability might: (i) cause a significant degradation in mission capability to an extent and duration that the organization is able to perform its primary functions, but the effectiveness of the functions is significantly reduced; (ii) result in significant damage to organizational assets; (iii) result in significant financial loss; or (iv) result in significant harm to individuals that does not involve loss of life or serious life threatening injuries.","The disruption of access to or use of information or an information system could be expected to have a serious adverse effect on organizational operations, organizational assets, or individuals."
"Availability","Ensuring timely and reliable access to and use of information.","the disruption of access to or use of information or an information system.","HIGH","severe or catastrophic","A severe or catastrophic adverse effect means that, for example, the loss of confidentiality, integrity, or availability might: (i) cause a severe degradation in or loss of mission capability to an extent and duration that the organization is not able to perform one or more of its primary functions; (ii) result in major damage to organizational assets; (iii) result in major financial loss; or (iv) result in severe or catastrophic harm to individuals involving loss of life or serious life threatening injuries.","The disruption of access to or use of information or an information system could be expected to have a severe or catastrophic adverse effect on organizational operations, organizational assets, or individuals."
