term,definition,source_anchor,notes
Possibly affected component,"A software component that is possibly affected by vulnerability. For example, when scanning a project for known vulnerabilities, components are first evaluated to see if they match the name and package type . During this stage, they’re possibly affected by the vulnerability, and are only known to be affected after it’s confirmed that they fall in the affected version range.",https://docs.gitlab.com/user/application_security/terminology/#possibly-affected-component,
Post-filter,"Post-filters help reduce noise in the scanner results and automate manual tasks. You can specify criteria that updates or modifies vulnerability data based on scanner results. For example, you can flag findings as likely false positives and automatically resolve vulnerabilities that are no longer detected. These are not permanent actions and can be changed.

Support for automatically resolving findings is tracked in epic 7478 and support for cheap scan is proposed in epic 7886 .",https://docs.gitlab.com/user/application_security/terminology/#post-filter,
Pre-filter,"An irreversible action that is done to filter out targets before analysis occurs. This is usually provided to allow the user to reduce scope and noise and speed up the analysis. This should not be done if a record is needed as GitLab doesn’t store anything related to the skipped/excluded code or assets.

Examples: DS_EXCLUDED_PATHS should Exclude files and directories from the scan based on the paths provided.",https://docs.gitlab.com/user/application_security/terminology/#pre-filter,
Primary identifier,"The first identifier is the primary identifier. The primary identifier must be stable. Subsequent scans must return the same value for the same finding, even if the location of the vulnerability has changed.",https://docs.gitlab.com/user/application_security/terminology/#primary-identifier,
Processor,"Software that accepts an input and transforms it according to specified criteria, either by modifying the input data or by attaching additional metadata as an output. Processors exist to support scanner operations and are commonly used in pre-scan and post-scan phases. Unlike filters , processors do not have decision-making capabilities to control workflow continuation or termination based on business logic. Instead, they perform transformations and pass the results forward unconditionally.

[Pre-processor]

Pre-processors typically perform data preparation tasks such as normalizing input formats, enriching scan targets with additional context, applying target-specific transformations, or augmenting configuration parameters. They ensure that the scanner receives properly formatted and enhanced inputs optimized for the scanning operation.

[Post-processor]

Post-processors apply intelligent analysis to scan results after the scanner completes its operation. Post-processors enhance raw scanner output through operations like vulnerability classification, false positive filtering, severity adjustment, and contextual enrichment. Scanner results can pass through multiple post-processors in sequence before the processed results are returned to the analyzer .",https://docs.gitlab.com/user/application_security/terminology/#processor,
Reachability,Reachability indicates whether a component listed as a dependency in a project is actually used in the codebase.,https://docs.gitlab.com/user/application_security/terminology/#reachability,
Report finding,"A finding that only exists in a report produced by an analyzer, and is yet to be persisted to the database. The report finding becomes a vulnerability finding once it’s imported into the database.",https://docs.gitlab.com/user/application_security/terminology/#report-finding,
Scan type (report type),"Describes the type of scan. This must be one of the following:

api_fuzzing container_scanning coverage_fuzzing dast dependency_scanning sast secret_detection

This list is subject to change as scanners are added.",https://docs.gitlab.com/user/application_security/terminology/#scan-type-report-type,
Scan target type,"A discrete unit of content or artifact that serves as the scope boundary for running the scan. Each scan target type represents a self-contained entity with defined scanning constraints. A specific instance of a scan target type (such as a particular Git repository or container image) is referred to as a “scan target”. Examples of scan target types include Git repositories, file systems, containers, etc.",https://docs.gitlab.com/user/application_security/terminology/#scan-target-type,
Scanner,"Software that scans for security vulnerabilities in a scan target (an instance of a scan target type ). It is generally a stateless component that receives necessary scan configuration parameters and scan payloads from the analyzer. The resulting scan report is not necessarily in the Secure report format . A scanner can be a sophisticated component that wraps one or more scan engines with additional processors (for example, the secret detection scanner), or it can be as simple as a standalone scan engine (for example, Trivy).",https://docs.gitlab.com/user/application_security/terminology/#scanner,
Secure product,"A group of features related to a specific area of application security with first-class support by GitLab.

Products include container scanning, dependency scanning, dynamic application security testing (DAST), secret detection, static application security testing (SAST), and fuzz testing.

Each of these products typically include one or more analyzers.",https://docs.gitlab.com/user/application_security/terminology/#secure-product,
Secure report format,A standard report format that Secure products comply with when creating JSON reports. The format is described by a JSON schema .,https://docs.gitlab.com/user/application_security/terminology/#secure-report-format,
Security dashboard,"Provides an overview of all the vulnerabilities for a project, group, or GitLab instance. Vulnerabilities are only created from findings discovered on the project’s default branch.",https://docs.gitlab.com/user/application_security/terminology/#security-dashboard,
Seed corpus,The set of test cases given as initial input to the fuzz target. This usually speeds up the fuzz target substantially. This can be either manually created test cases or auto-generated with the fuzz target itself from previous runs.,https://docs.gitlab.com/user/application_security/terminology/#seed-corpus,
Vendor,"The party maintaining an analyzer. As such, a vendor is responsible for integrating a scanner into GitLab and keeping it compatible as they evolve. A vendor isn’t necessarily the author or maintainer of the scanner, as in the case of using an open core or OSS project as a base solution of an offering. For scanners included as part of a GitLab distribution or GitLab subscription, the vendor is listed as GitLab.",https://docs.gitlab.com/user/application_security/terminology/#vendor,
Vulnerability,"A flaw that has a negative impact on the security of its environment. Vulnerabilities describe the error or weakness, and don’t describe where the error is located (see finding ).

Each vulnerability maps to a unique finding.

Vulnerabilities exist in the default branch. Findings (see finding ) are all potential vulnerability items scanners identify in MRs/feature branches. Only after merging to default does a finding become a vulnerability.",https://docs.gitlab.com/user/application_security/terminology/#vulnerability,
Vulnerability finding,"When a report finding is stored to the database, it becomes a vulnerability finding .",https://docs.gitlab.com/user/application_security/terminology/#vulnerability-finding,
Vulnerability tracking,"Deals with the responsibility of matching findings across scans so that a finding’s lifecycle can be understood. Engineers and security teams use this information to decide whether to merge code changes, and to see unresolved findings and when they were introduced.

Vulnerabilities are tracked by comparing the location fingerprint, primary identifier, and report type.",https://docs.gitlab.com/user/application_security/terminology/#vulnerability-tracking,
Vulnerability occurrence,"Deprecated, see finding .",https://docs.gitlab.com/user/application_security/terminology/#vulnerability-occurrence,
