"section","name","content"
"6-1-1701","Definitions","AS USED IN THIS PART 17, UNLESS THE CONTEXT OTHERWISE REQUIRES: - (1) (a) ""ALGORITHMIC DISCRIMINATION"" MEANS ANY CONDITION IN WHICH THE USE OF AN ARTIFICIAL INTELLIGENCE SYSTEM RESULTS IN AN UNLAWFUL DIFFERENTIAL TREATMENT OR IMPACT THAT DISFAVORS AN INDIVIDUAL OR GROUP OF INDIVIDUALS ON THE BASIS OF THEIR ACTUAL OR Capital letters or bold & italic numbers indicate new material added to existing law; dashes through words or numbers indicate deletions from existing law and such material is not part of the act. PERCEIVED AGE, COLOR, DISABILITY, ETHNICITY, GENETIC INFORMATION, LIMITED PROFICIENCY IN THE ENGLISH LANGUAGE, NATIONAL ORIGIN, RACE, RELIGION, REPRODUCTIVE HEALTH, SEX, VETERAN STATUS, OR OTHER CLASSIFICATION PROTECTED UNDER THE LAWS OF THIS STATE OR FEDERAL LAW. - (b) ""ALGORITHMIC DISCRIMINATION"" DOES NOT INCLUDE: - (I) THE OFFER, LICENSE, OR USE OF A HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM BY A DEVELOPER OR DEPLOYER FOR THE SOLE PURPOSE OF: - (A) THE DEVELOPER'S OR DEPLOYER'S SELF-TESTING TO IDENTIFY, MITIGATE, OR PREVENT DISCRIMINATION OR OTHERWISE ENSURE COMPLIANCE WITH STATE AND FEDERAL LAW; OR - (B) EXPANDING AN APPLICANT, CUSTOMER, OR PARTICIPANT POOL TO INCREASE DIVERSITY OR REDRESS HISTORICAL DISCRIMINATION; OR - (II) AN ACT OR OMISSION BY OR ON BEHALF OF A PRIVATE CLUB OR OTHER ESTABLISHMENT THAT IS NOT IN FACT OPEN TO THE PUBLIC, AS SET FORTH IN TITLE II OF THE FEDERAL ""CIVIL RIGHTS ACT OF 1964"", 42 U.S.C. SEC. 2000a (e), AS AMENDED. - (2) ""ARTIFICIAL INTELLIGENCE SYSTEM"" MEANS ANY MACHINE-BASED SYSTEM THAT, FOR ANY EXPLICIT OR IMPLICIT OBJECTIVE, INFERS FROM THE INPUTS THE SYSTEM RECEIVES HOW TO GENERATE OUTPUTS, INCLUDING CONTENT, DECISIONS, PREDICTIONS, OR RECOMMENDATIONS, THAT CAN INFLUENCE PHYSICAL OR VIRTUAL ENVIRONMENTS. - (3) ""CONSEQUENTIAL DECISION"" MEANS A DECISION THAT HAS A MATERIAL LEGAL OR SIMILARLY SIGNIFICANT EFFECT ON THE PROVISION OR DENIAL TO ANY CONSUMER OF, OR THE COST OR TERMS OF: - (a) EDUCATION ENROLLMENT OR AN EDUCATION OPPORTUNITY; - (b) EMPLOYMENT OR AN EMPLOYMENT OPPORTUNITY; - (C) A FINANCIAL OR LENDING SERVICE; PAGE 2-SENATE BILL 24-205 - (d) AN ESSENTIAL GOVERNMENT SERVICE; - (e) I IEALTH-CARE SERVICES; - (f) I lousiNG; - (g) INSURANCE; OR - (h) A LEGAL SERVICE. - (4) ""CONSUMER"" MEANS AN INDIVIDUAL WHO IS A COLORADO RESIDENT. - (5) ""DEPLOY"" MEANS TO USE A HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM. - (6) ""DEPLOYER"" MEANS A PERSON DOING BUSINESS IN THIS STATE THAT DEPLOYS A HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM. - (7) ""DEVELOPER"" MEANS A PERSON DOING BUSINESS IN THIS STATE THAT DEVELOPS OR INTENTIONALLY AND SUBSTANTIALLY MODIFIES AN ARTIFICIAL INTELLIGENCE SYSTEM. - (8) ""I IEALTH-CARE SERVICES"" HAS THE SAME MEANING AS PROVIDED IN 42 U.S.C. SEC. 234 (d)(2). - (9) (a) ""HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM"" MEANS ANY ARTIFICIAL INTELLIGENCE SYSTEM THAT, WHEN DEPLOYED, MAKES, OR IS A SUBSTANTIAL FACTOR IN MAKING, A CONSEQUENTIAL DECISION. - (b) ""HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM"" DOES NOT INCLUDE: - (I) AN ARTIFICIAL INTELLIGENCE SYSTEM IF THE ARTIFICIAL INTELLIGENCE SYSTEM IS INTENDED TO: - (A) PERFORM A NARROW PROCEDURAL TASK; OR - (B) DETECT DECISION-MAKING PATTERNS OR DEVIATIONS FROM PRIOR DECISION-MAKING PATTERNS AND IS NOT INTENDED TO REPLACE OR PAGE 3-SENATE BILL 24-205 INFLUENCE A PREVIOUSLY COMPLETED HUMAN ASSESSMENT WITHOUT SUFFICIENT HUMAN REVIEW; OR - (II) THE FOLLOWING TECHNOLOGIES, UNLESS THE TECHNOLOGIES, WHEN DEPLOYED, MAKE, OR ARE A SUBSTANTIAL FACTOR IN MAKING, A CONSEQUENTIAL DECISION: - (A) ANTI-FRAUD TECHNOLOGY THAT DOES NOT USE FACIAL RECOGNITION TECHNOLOGY; - (B) ANTI-MALWARE; - (C) ANTI-VIRUS; - (D) ARTIFICIAL INTELLIGENCE-ENABLED VIDEO GAMES; - (E) CALCULATORS; - (F) CYBERSECURITY; - (G) DATABASES; - (H) DATA STORAGE; - (I) FIREWALL; - (J) INTERNET DOMAIN REGISTRATION; - (K) INTERNET WEBSITE LOADING; - (L) NETWORKING; - (M) SPAM- AND ROBOCALL-FILTERING; - (N) SPELL-CHECKING; - (0) SPREADSHEETS; - (P) WEB CACHING; # (Q) WEB HOSTING OR ANY SIMILAR TECHNOLOGY; OR - (R) TECHNOLOGY THAT COMMUNICATES WITH CONSUMERS IN NATURAL LANGUAGE FOR THE PURPOSE OF PROVIDING USERS WITH INFORMATION, MAKING REFERRALS OR RECOMMENDATIONS, AND ANSWERING QUESTIONS AND IS SUBJECT TO AN ACCEPTED USE POLICY THAT PROHIBITS GENERATING CONTENT THAT IS DISCRIMINATORY OR HARMFUL. - (10) (a) ""INTENTIONAL AND SUBSTANTIAL MODIFICATION"" OR ""INTENTIONALLY AND SUBSTANTIALLY MODIFIES"" MEANS A DELIBERATE CHANGE MADE TO AN ARTIFICIAL INTELLIGENCE SYSTEM THAT RESULTS IN ANY NEW REASONABLY FORESEEABLE RISK OF ALGORITHMIC DISCRIMINATION. - (b) ""INTENTIONAL AND SUBSTANTIAL MODIFICATION"" OR ""INTENTIONALLY AND SUBSTANTIALLY MODIFIES"" DOES NOT INCLUDE A CHANGE MADE TO A HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM, OR THE PERFORMANCE OF A HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM, IF: - (I) THE HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM CONTINUES TO LEARN AFTER THE HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM IS: - (A) OFFERED, SOLD, LEASED, LICENSED, GIVEN, OR OTHERWISE MADE AVAILABLE TO A DEPLOYER; OR ### (B) DEPLOYED; - (II) THE CHANGE IS MADE TO THE HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM AS A RESULT OF ANY LEARNING DESCRIBED IN SUBSECTION (10)(b)(I) OF THIS SECTION; - (III) THE CHANGE WAS PREDETERMINED BY THE DEPLOYER, OR A THIRD PARTY CONTRACTED BY THE DEPLOYER, WHEN THE DEPLOYER OR THIRD PARTY COMPLETED AN INITIAL IMPACT ASSESSMENT OF SUCH HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM PURSUANT TO SECTION 6-1-1703 (3); AND - (IV) THE CHANGE IS INCLUDED IN TECHNICAL DOCUMENTATION FOR THE HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM. - (1 1 ) (a) ""SUBSTANTIAL FACTOR"" MEANS A FACTOR THAT: - (I) ASSISTS IN MAKING A CONSEQUENTIAL DECISION; - (II) IS CAPABLE OF ALTERING THE OUTCOME OF A CONSEQUENTIAL DECISION; AND - (III) IS GENERATED BY AN ARTIFICIAL INTELLIGENCE SYSTEM. - (b) ""SUBSTANTIAL FACTOR"" INCLUDES ANY USE OF AN ARTIFICIAL INTELLIGENCE SYSTEM TO GENERATE ANY CONTENT, DECISION, PREDICTION, OR RECOMMENDATION CONCERNING A CONSUMER THAT IS USED AS A BASIS TO MAKE A CONSEQUENTIAL DECISION CONCERNING THE CONSUMER. - (12) ""TRADE SECRET"" HAS THE MEANING SET FORTH IN SECTION 7-74-102 (4)."
"6-1-1702","Developer duty to avoid algorithmic discrimination required documentation","(1) ON AND AFTER FEBRUARY 1, 2026, A DEVELOPER OF A HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM SHALL USE REASONABLE CARE TO PROTECT CONSUMERS FROM ANY KNOWN OR REASONABLY FORESEEABLE RISKS OF ALGORITHMIC DISCRIMINATION ARISING FROM THE INTENDED AND CONTRACTED USES OF THE HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM. IN ANY ENFORCEMENT ACTION BROUGHT ON OR AFTER FEBRUARY 1, 2026, BY THE ATTORNEY GENERAL PURSUANT TO SECTION 6-1-1706, THERE IS A REBUTTABLE PRESUMPTION THAT A DEVELOPER USED REASONABLE CARE AS REQUIRED UNDER THIS SECTION IF THE DEVELOPER COMPLIED WITH THIS SECTION AND ANY ADDITIONAL REQUIREMENTS OR OBLIGATIONS AS SET FORTH IN RULES PROMULGATED BY THE ATTORNEY GENERAL PURSUANT TO SECTION 6-1-1707. - (2) ON AND AFTER FEBRUARY 1, 2026, AND EXCEPT AS PROVIDED IN SUBSECTION (6) OF THIS SECTION, A DEVELOPER OF A HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM SHALL MAKE AVAILABLE TO THE DEPLOYER OR OTHER DEVELOPER OF THE HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM: - (a) A GENERAL STATEMENT DESCRIBING THE REASONABLY FORESEEABLE USES AND KNOWN HARMFUL OR INAPPROPRIATE USES OF THE HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM; #### (b) DOCUMENTATION DISCLOSING: - (I) HIGH-LEVEL SUMMARIES OF THE TYPE OF DATA USED TO TRAIN THE HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM; - (II) KNOWN OR REASONABLY FORESEEABLE LIMITATIONS OF THE HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM, INCLUDING KNOWN OR REASONABLY FORESEEABLE RISKS OF ALGORITHMIC DISCRIMINATION ARISING FROM THE INTENDED USES OF THE HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM; - (III) THE PURPOSE OF THE HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM; - (IV) THE INTENDED BENEFITS AND USES OF THE HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM; AND - (V) ALL OTHER INFORMATION NECESSARY TO ALLOW THE DEPLOYER TO COMPLY WITH THE REQUIREMENTS OF SECTION 6-1-1703; #### (c) DOCUMENTATION DESCRIBING: - (I) How THE HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM WAS EVALUATED FOR PERFORMANCE AND MITIGATION OF ALGORITHMIC DISCRIMINATION BEFORE THE HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM WAS OFFERED, SOLD, LEASED, LICENSED, GIVEN, OR OTHERWISE MADE AVAILABLE TO THE DEPLOYER; - (II) THE DATA GOVERNANCE MEASURES USED TO COVER THE TRAINING DATASETS AND THE MEASURES USED TO EXAMINE THE SUITABILITY OF DATA SOURCES, POSSIBLE BIASES, AND APPROPRIATE MITIGATION; - (III) THE INTENDED OUTPUTS OF THE HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM; - (IV) THE MEASURES THE DEVELOPER HAS TAKEN TO MITIGATE KNOWN OR REASONABLY FORESEEABLE RISKS OF ALGORITHMIC DISCRIMINATION THAT MAY ARISE FROM THE REASONABLY FORESEEABLE DEPLOYMENT OF THE HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM; AND - (V) HOW THE HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM SHOULD BE USED, NOT BE USED, AND BE MONITORED BY AN INDIVIDUAL WHEN THE HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM IS USED TO MAKE, OR IS A SUBSTANTIAL FACTOR IN MAKING, A CONSEQUENTIAL DECISION; AND - (d) ANY ADDITIONAL DOCUMENTATION THAT IS REASONABLY NECESSARY TO ASSIST THE DEPLOYER IN UNDERSTANDING THE OUTPUTS AND MONITOR THE PERFORMANCE OF THE HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM FOR RISKS OF ALGORITHMIC DISCRIMINATION. - (3) (a) EXCEPT AS PROVIDED IN SUBSECTION (6) OF THIS SECTION, A DEVELOPER THAT OFFERS, SELLS, LEASES, LICENSES, GIVES, OR OTHERWISE MAKES AVAILABLE TO A DEPLOYER OR OTHER DEVELOPER A HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM ON OR AFTER FEBRUARY 1, 2026, SHALL MAKE AVAILABLE TO THE DEPLOYER OR OTHER DEVELOPER, TO THE EXTENT FEASIBLE, THE DOCUMENTATION AND INFORMATION, THROUGH ARTIFACTS SUCH AS MODEL CARDS, DATASET CARDS, OR OTHER IMPACT ASSESSMENTS, NECESSARY FOR A DEPLOYER, OR FOR A THIRD PARTY CONTRACTED BY A DEPLOYER, TO COMPLETE AN IMPACT ASSESSMENT PURSUANT TO SECTION 6-1-1703 (3). - (b) A DEVELOPER THAT ALSO SERVES AS A DEPLOYER FOR A HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM IS NOT REQUIRED TO GENERATE THE DOCUMENTATION REQUIRED BY THIS SECTION UNLESS THE HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM IS PROVIDED TO AN UNAFFILIATED ENTITY ACTING AS A DEPLOYER. - (4) (a) ON AND AFTER FEBRUARY 1, 2026, A DEVELOPER SHALL MAKE AVAILABLE, IN A MANNER THAT IS CLEAR AND READILY AVAILABLE ON THE DEVELOPER'S WEBSITE OR IN A PUBLIC USE CASE INVENTORY, A STATEMENT SUMMARIZING: - (I) THE TYPES OF HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEMS THAT THE DEVELOPER HAS DEVELOPED OR INTENTIONALLY AND SUBSTANTIALLY MODIFIED AND CURRENTLY MAKES AVAILABLE TO A DEPLOYER OR OTHER DEVELOPER; AND - (II) How THE DEVELOPER MANAGES KNOWN OR REASONABLY FORESEEABLE RISKS OF ALGORITHMIC DISCRIMINATION THAT MAY ARISE FROM THE DEVELOPMENT OR INTENTIONAL AND SUBSTANTIAL MODIFICATION OF THE TYPES OF HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEMS DESCRIBED IN ACCORDANCE WITH SUBSECTION (4)(a)(I) OF THIS SECTION. - (b) A DEVELOPER SHALL UPDATE THE STATEMENT DESCRIBED IN SUBSECTION (4)(a) OF THIS SECTION: - (I) AS NECESSARY TO ENSURE THAT THE STATEMENT REMAINS ACCURATE; AND - (II) No LATER THAN NINETY DAYS AFTER THE DEVELOPER INTENTIONALLY AND SUBSTANTIALLY MODIFIES ANY HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM DESCRIBED IN SUBSECTION (4)(a)(I) OF THIS SECTION. - (5) ON AND AFTER FEBRUARY 1,2026, A DEVELOPER OF A HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM SHALL DISCLOSE TO THE ATTORNEY GENERAL, IN A FORM AND MANNER PRESCRIBED BY THE ATTORNEY GENERAL, AND TO ALL KNOWN DEPLOYERS OR OTHER DEVELOPERS OF THE HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM, ANY KNOWN OR REASONABLY FORESEEABLE RISKS OF ALGORITHMIC DISCRIMINATION ARISING FROM THE INTENDED USES OF THE HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM WITHOUT UNREASONABLE DELAY BUT NO LATER THAN NINETY DAYS AFTER THE DATE ON WHICH: - (a) THE DEVELOPER DISCOVERS THROUGH THE DEVELOPER'S ONGOING TESTING AND ANALYSIS THAT THE DEVELOPER'S HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM HAS BEEN DEPLOYED AND HAS CAUSED OR IS REASONABLY LIKELY TO HAVE CAUSED ALGORITHMIC DISCRIMINATION; OR - (b) THE DEVELOPER RECEIVES FROM A DEPLOYER A CREDIBLE REPORT THAT THE HIGH-RISK ARTIFICIAL INTELLIGENCE SYSTEM HAS BEEN DEPLOYED AND HAS CAUSED ALGORITHMIC DISCRIMINATION. - (6) NOTHING IN SUBSECTIONS (2) TO (5) OF THIS SECTION REQUIRES A DEVELOPER TO DISCLOSE A TRADE SECRET, INFORMATION PROTECTED FROM DISCLOSURE BY STATE OR FEDERAL LAW, OR INFORMATION THAT WOULD CREATE A SECURITY RISK TO THE DEVELOPER. - (7) ON AND AFTER FEBRUARY 1,2026, THE ATTORNEY GENERAL MAY REQUIRE THAT A DEVELOPER DISCLOSE TO THE ATTORNEY GENERAL, NO LATER THAN NINETY DAYS AFTER THE REQUEST AND IN A FORM AND MANNER PRESCRIBED BY THE ATTORNEY GENERAL, THE STATEMENT OR DOCUMENTATION DESCRIBED IN SUBSECTION (2) OF THIS SECTION. THE ATTORNEY GENERAL MAY EVALUATE SUCH STATEMENT OR DOCUMENTATION TO ENSURE COMPLIANCE WITH THIS PART 17, AND THE STATEMENT OR DOCUMENTATION IS NOT SUBJECT TO DISCLOSURE UNDER THE ""COLORADO OPEN RECORDS ACT"", PART 2 OF ARTICLE 72 OF TITLE 24. IN A DISCLOSURE PURSUANT TO THIS SUBSECTION (7), A DEVELOPER MAY DESIGNATE THE STATEMENT OR DOCUMENTATION AS INCLUDING PROPRIETARY INFORMATION OR A TRADE SECRET. TO THE EXTENT THAT ANY INFORMATION CONTAINED IN THE STATEMENT OR DOCUMENTATION INCLUDES INFORMATION SUBJECT TO ATTORNEY-CLIENT PRIVILEGE OR WORK-PRODUCT PROTECTION, THE DISCLOSURE DOES NOT CONSTITUTE A WAIVER OF THE PRIVILEGE OR PROTECTION."
