status,old_question_id,new_question_id,old_control_id,new_control_id,change,text_similarity,match_how,id_reuse
unchanged,AIS-11.1,AIS-11.1,AIS-11,AIS-11,unchanged,1.0,exact-text,no
unchanged,AIS-12.1,AIS-12.1,AIS-12,AIS-12,unchanged,1.0,exact-text,no
unchanged,AIS-13.1,AIS-13.1,AIS-13,AIS-13,unchanged,1.0,exact-text,no
unchanged,AIS-14.1,AIS-14.1,AIS-14,AIS-14,unchanged,1.0,exact-text,no
unchanged,AIS-15.1,AIS-15.1,AIS-15,AIS-15,unchanged,1.0,exact-text,no
unchanged,BCR-01.1,BCR-01.1,BCR-01,BCR-01,unchanged,1.0,exact-text,no
changed,BCR-01.2,BCR-01.2,BCR-01,BCR-01,reworded,0.809,text(0.81),no
unchanged,BCR-02.1,BCR-02.1,BCR-02,BCR-02,unchanged,1.0,exact-text,no
unchanged,BCR-02.2,BCR-02.2,BCR-02,BCR-02,unchanged,1.0,exact-text,no
unchanged,BCR-03.1,BCR-03.1,BCR-03,BCR-03,unchanged,1.0,exact-text,no
unchanged,BCR-04.1,BCR-04.1,BCR-04,BCR-04,unchanged,1.0,exact-text,no
changed,BCR-05.1,BCR-05.1,BCR-05,BCR-05,edited,0.98,text(0.98),no
changed,BCR-05.2,BCR-05.2,BCR-05,BCR-05,edited,0.992,text(0.99),no
changed,BCR-06.1,BCR-06.1,BCR-06,BCR-06,reworded,0.673,text(0.67),no
unchanged,BCR-07.1,BCR-07.1,BCR-07,BCR-07,unchanged,1.0,exact-text,no
unchanged,BCR-08.1,BCR-08.1,BCR-08,BCR-08,unchanged,1.0,exact-text,no
unchanged,BCR-08.2,BCR-08.2,BCR-08,BCR-08,unchanged,1.0,exact-text,no
unchanged,BCR-09.1,BCR-09.1,BCR-09,BCR-09,unchanged,1.0,exact-text,no
unchanged,BCR-09.2,BCR-09.2,BCR-09,BCR-09,unchanged,1.0,exact-text,no
changed,BCR-10.1,BCR-10.1,BCR-10,BCR-10,reworded,0.753,text(0.75),no
unchanged,BCR-11.1,BCR-11.1,BCR-11,BCR-11,unchanged,1.0,exact-text,no
unchanged,CCC-01.1,CCC-01.1,CCC-01,CCC-01,unchanged,1.0,exact-text,no
unchanged,CCC-01.2,CCC-01.2,CCC-01,CCC-01,unchanged,1.0,exact-text,no
unchanged,CCC-02.1,CCC-02.1,CCC-02,CCC-02,unchanged,1.0,exact-text,no
unchanged,CCC-03.1,CCC-03.1,CCC-03,CCC-03,unchanged,1.0,exact-text,no
changed,CCC-04.1,CCC-04.1,CCC-04,CCC-04,edited,0.972,text(0.97),no
changed,CCC-05.1,CCC-05.1,CCC-05,CCC-05,reworded,0.923,text(0.92),no
changed,CCC-06.1,CCC-06.1,CCC-06,CCC-06,reworded,0.817,text(0.82),no
changed,CCC-06.2,CCC-06.2,CCC-06,CCC-06,reworded,0.865,text(0.86),no
unchanged,CCC-07.1,CCC-07.1,CCC-07,CCC-07,unchanged,1.0,exact-text,no
unchanged,CCC-08.1,CCC-08.1,CCC-08,CCC-08,unchanged,1.0,exact-text,no
unchanged,CCC-09.1,CCC-09.1,CCC-09,CCC-09,unchanged,1.0,exact-text,no
unchanged,CEK-01.1,CEK-01.1,CEK-01,CEK-01,unchanged,1.0,exact-text,no
unchanged,CEK-01.2,CEK-01.2,CEK-01,CEK-01,unchanged,1.0,exact-text,no
unchanged,CEK-02.1,CEK-02.1,CEK-02,CEK-02,unchanged,1.0,exact-text,no
unchanged,CEK-03.1,CEK-03.1,CEK-03,CEK-03,unchanged,1.0,exact-text,no
unchanged,CEK-04.1,CEK-04.1,CEK-04,CEK-04,unchanged,1.0,exact-text,no
unchanged,CEK-05.1,CEK-05.1,CEK-05,CEK-05,unchanged,1.0,exact-text,no
unchanged,CEK-06.1,CEK-06.1,CEK-06,CEK-06,unchanged,1.0,exact-text,no
unchanged,CEK-07.1,CEK-07.1,CEK-07,CEK-07,unchanged,1.0,exact-text,no
changed,CEK-08.1,CEK-08.1,CEK-08,CEK-08,reworded,0.922,text(0.92),no
unchanged,CEK-09.1,CEK-09.1,CEK-09,CEK-09,unchanged,1.0,exact-text,no
unchanged,CEK-09.2,CEK-09.2,CEK-09,CEK-09,unchanged,1.0,exact-text,no
unchanged,CEK-10.1,CEK-10.1,CEK-10,CEK-10,unchanged,1.0,exact-text,no
unchanged,CEK-11.1,CEK-11.1,CEK-11,CEK-11,unchanged,1.0,exact-text,no
unchanged,CEK-12.1,CEK-12.1,CEK-12,CEK-12,unchanged,1.0,exact-text,no
unchanged,CEK-13.1,CEK-13.1,CEK-13,CEK-13,unchanged,1.0,exact-text,no
