status,old_question_id,new_question_id,old_control_id,new_control_id,change,text_similarity,match_how,id_reuse
changed,GRC-01.2,GRC-01.2,GRC-01,GRC-01,reworded,0.886,text(0.89),no
unchanged,GRC-02.1,GRC-02.1,GRC-02,GRC-02,unchanged,1.0,exact-text,no
unchanged,GRC-03.1,GRC-03.1,GRC-03,GRC-03,unchanged,1.0,exact-text,no
unchanged,GRC-04.1,GRC-04.1,GRC-04,GRC-04,unchanged,1.0,exact-text,no
unchanged,GRC-05.1,GRC-05.1,GRC-05,GRC-05,unchanged,1.0,exact-text,no
unchanged,GRC-06.1,GRC-06.1,GRC-06,GRC-06,unchanged,1.0,exact-text,no
changed,GRC-07.1,GRC-07.1,GRC-07,GRC-07,edited,0.97,text(0.97),no
changed,GRC-07.2,GRC-07.2,GRC-07,GRC-07,reworded,0.843,text(0.84),no
changed,GRC-08.01,GRC-08.1,GRC-08,GRC-08,renumbered,1.0,exact-text,no
unchanged,GRC-09.1,GRC-09.1,GRC-09,GRC-09,unchanged,1.0,exact-text,no
unchanged,GRC-09.2,GRC-09.2,GRC-09,GRC-09,unchanged,1.0,exact-text,no
unchanged,GRC-10.1,GRC-10.1,GRC-10,GRC-10,unchanged,1.0,exact-text,no
unchanged,GRC-11.1,GRC-11.1,GRC-11,GRC-11,unchanged,1.0,exact-text,no
unchanged,GRC-12.1,GRC-12.1,GRC-12,GRC-12,unchanged,1.0,exact-text,no
unchanged,GRC-13.1,GRC-13.1,GRC-13,GRC-13,unchanged,1.0,exact-text,no
unchanged,GRC-14.1,GRC-14.1,GRC-14,GRC-14,unchanged,1.0,exact-text,no
unchanged,GRC-15.1,GRC-15.1,GRC-15,GRC-15,unchanged,1.0,exact-text,no
unchanged,HRS-01.1,HRS-01.1,HRS-01,HRS-01,unchanged,1.0,exact-text,no
unchanged,HRS-01.2,HRS-01.2,HRS-01,HRS-01,unchanged,1.0,exact-text,no
changed,HRS-01.3,HRS-01.3,HRS-01,HRS-01,reworded,0.863,text(0.86),no
unchanged,HRS-02.1,HRS-02.1,HRS-02,HRS-02,unchanged,1.0,exact-text,no
changed,HRS-02.2,HRS-02.2,HRS-02,HRS-02,reworded,0.922,text(0.92),no
unchanged,HRS-03.1,HRS-03.1,HRS-03,HRS-03,unchanged,1.0,exact-text,no
changed,HRS-03.2,HRS-03.2,HRS-03,HRS-03,reworded,0.898,text(0.90),no
unchanged,HRS-04.1,HRS-04.1,HRS-04,HRS-04,unchanged,1.0,exact-text,no
changed,HRS-04.2,HRS-04.2,HRS-04,HRS-04,reworded,0.912,text(0.91),no
changed,HRS-05.1,HRS-05.1,HRS-05,HRS-05,reworded,0.85,text(0.85),no
changed,HRS-06.1,HRS-06.1,HRS-06,HRS-06,edited,0.97,text(0.97),no
unchanged,HRS-07.1,HRS-07.1,HRS-07,HRS-07,unchanged,1.0,exact-text,no
unchanged,HRS-08.1,HRS-08.1,HRS-08,HRS-08,unchanged,1.0,exact-text,no
changed,HRS-09.1,HRS-09.1,HRS-09,HRS-09,reworded,0.878,text(0.88),no
unchanged,HRS-10.1,HRS-10.1,HRS-10,HRS-10,unchanged,1.0,exact-text,no
unchanged,HRS-11.1,HRS-11.1,HRS-11,HRS-11,unchanged,1.0,exact-text,no
unchanged,HRS-11.2,HRS-11.2,HRS-11,HRS-11,unchanged,1.0,exact-text,no
unchanged,HRS-12.1,HRS-12.1,HRS-12,HRS-12,unchanged,1.0,exact-text,no
unchanged,HRS-13.1,HRS-13.1,HRS-13,HRS-13,unchanged,1.0,exact-text,no
unchanged,HRS-14.1,HRS-14.1,HRS-14,HRS-14,unchanged,1.0,exact-text,no
unchanged,HRS-14.2,HRS-14.2,HRS-14,HRS-14,unchanged,1.0,exact-text,no
unchanged,HRS-15.1,HRS-15.1,HRS-15,HRS-15,unchanged,1.0,exact-text,no
unchanged,I&S-01.1,I&S-01.1,I&S-01,I&S-01,unchanged,1.0,exact-text,no
unchanged,I&S-01.2,I&S-01.2,I&S-01,I&S-01,unchanged,1.0,exact-text,no
unchanged,I&S-02.1,I&S-02.1,I&S-02,I&S-02,unchanged,1.0,exact-text,no
changed,I&S-03.1,I&S-03.1,I&S-03,I&S-03,reworded,0.92,text(0.92),no
unchanged,I&S-03.2,I&S-03.2,I&S-03,I&S-03,unchanged,1.0,exact-text,no
unchanged,I&S-04.1,I&S-04.1,I&S-04,I&S-04,unchanged,1.0,exact-text,no
changed,I&S-05.1,I&S-05.1,I&S-05,I&S-05,reworded,0.536,ordinal,no
new,,I&S-05.2,,I&S-05,added,,,no
changed,I&S-06.1,I&S-06.1,I&S-06,I&S-06,edited,0.953,text(0.95),no
unchanged,I&S-07.1,I&S-07.1,I&S-07,I&S-07,unchanged,1.0,exact-text,no
unchanged,I&S-07.2,I&S-07.2,I&S-07,I&S-07,unchanged,1.0,exact-text,no
changed,I&S-08.1,I&S-08.1,I&S-08,I&S-08,reworded,0.624,text(0.62),no
unchanged,I&S-09.1,I&S-09.1,I&S-09,I&S-09,unchanged,1.0,exact-text,no
unchanged,IAM-01.1,IAM-01.1,IAM-01,IAM-01,unchanged,1.0,exact-text,no
unchanged,IAM-01.2,IAM-01.2,IAM-01,IAM-01,unchanged,1.0,exact-text,no
changed,IAM-02.1,IAM-02.1,IAM-02,IAM-02,reworded,0.744,text(0.74),no
changed,IAM-02.2,IAM-02.2,IAM-02,IAM-02,reworded,0.536,ordinal,no
