"identifier","family","family_long_name","base_control","enhancement","is_enhancement","sort_as","control_name","assessment_objective","examine","interview","test"
"PE-11(02)_ODP[02]","PE","","PE-11","2","True","PE-11-02-02","","one of the following PARAMETER VALUES is selected: {minimally required operational capability; full operational capability};","","",""
"PE-11(02)","PE","","PE-11","2","True","PE-11-02-03","","an alternate power supply provided for the system is activated <PE-11(02)_ODP[01] SELECTED PARAMETER VALUE>;","","",""
"PE-11(02)(a)","PE","","PE-11","2","True","PE-11-02-04","","the alternate power supply provided for the system is self-contained;","","",""
"PE-11(02)(b)","PE","","PE-11","2","True","PE-11-02-05","","the alternate power supply provided for the system is not reliant on external power generation;","","",""
"PE-11(02)(c)","PE","","PE-11","2","True","PE-11-02-06","","the alternate power supply provided for the system is capable of maintaining <PE-11(02)_ODP[02] SELECTED PARAMETER VALUE> in the event of an extended loss of the primary power source.","","",""
"PE-12","PE","PHYSICAL AND ENVIRONMENTAL PROTECTION","PE-12","","False","PE-12-00-00","Emergency Lighting","Determine if:","[SELECT FROM: Physical and environmental protection policy; procedures addressing emergency lighting; emergency lighting documentation; emergency lighting test records; emergency exits and evacuation routes; system security plan; other relevant documents or records].","[SELECT FROM: Organizational personnel with the responsibility for emergency lighting and/or planning; organizational personnel with information security responsibilities].","[SELECT FROM: Mechanisms supporting and/or implementing an emergency lighting capability]."
"PE-12[01]","PE","","PE-12","","False","PE-12-00-01","","automatic emergency lighting that activates in the event of a power outage or disruption is employed for the system;","","",""
"PE-12[02]","PE","","PE-12","","False","PE-12-00-02","","automatic emergency lighting that activates in the event of a power outage or disruption is maintained for the system;","","",""
"PE-12[03]","PE","","PE-12","","False","PE-12-00-03","","automatic emergency lighting for the system covers emergency exits within the facility;","","",""
"PE-12[04]","PE","","PE-12","","False","PE-12-00-04","","automatic emergency lighting for the system covers evacuation routes within the facility.","","",""
"PE-12(01)","PE","","PE-12","1","True","PE-12-01-00","Emergency Lighting | Essential Mission and Business Functions","Determine if:","[SELECT FROM: Physical and environmental protection policy; procedures addressing emergency lighting; emergency lighting documentation; emergency lighting test records; emergency exits and evacuation routes; areas/locations within facility supporting essential missions and business functions; system security plan; other relevant documents or records].","[SELECT FROM: Organizational personnel with the responsibility for emergency lighting and/or planning; organizational personnel with information security responsibilities].","[SELECT FROM: Mechanisms supporting and/or implementing the emergency lighting capability]."
"PE-12(01)","PE","","PE-12","1","True","PE-12-01-01","","emergency lighting is provided for all areas within the facility supporting essential mission and business functions.","","",""
"PE-13","PE","PHYSICAL AND ENVIRONMENTAL PROTECTION","PE-13","","False","PE-13-00-00","Fire Protection","Determine if:","[SELECT FROM: Physical and environmental protection policy; procedures addressing fire protection; fire suppression and detection devices/systems; fire suppression and detection devices/systems documentation; test records of fire suppression and detection devices/systems; system security plan; other relevant documents or records].","[SELECT FROM: Organizational personnel with responsibilities for fire detection and suppression devices/systems; organizational personnel with information security responsibilities].","[SELECT FROM: Mechanisms supporting and/or implementing fire suppression/detection devices/systems]."
"PE-13[01]","PE","","PE-13","","False","PE-13-00-01","","fire detection systems are employed;","","",""
"PE-13[02]","PE","","PE-13","","False","PE-13-00-02","","employed fire detection systems are supported by an independent energy source;","","",""
"PE-13[03]","PE","","PE-13","","False","PE-13-00-03","","employed fire detection systems are maintained;","","",""
"PE-13[04]","PE","","PE-13","","False","PE-13-00-04","","fire suppression systems are employed;","","",""
"PE-13[05]","PE","","PE-13","","False","PE-13-00-05","","employed fire suppression systems are supported by an independent energy source;","","",""
"PE-13[06]","PE","","PE-13","","False","PE-13-00-06","","employed fire suppression systems are maintained.","","",""
"PE-13(01)","PE","","PE-13","1","True","PE-13-01-00","Fire Protection | Detection Systems ó Automatic Activation and Notification","Determine if:","[SELECT FROM: Physical and environmental protection policy; procedures addressing fire protection; facility housing the information system; alarm service-level agreements; test records of fire suppression and detection devices/systems; fire suppression and detection devices/systems documentation; alerts/notifications of fire events; system security plan; other relevant documents or records].","[SELECT FROM: Organizational personnel with responsibilities for fire detection and suppression devices/systems; organizational personnel with responsibilities for notifying appropriate personnel, roles, and emergency responders of fires; organizational personnel with information security responsibilities].","[SELECT FROM: Mechanisms supporting and/or implementing fire detection devices/systems; activation of fire detection devices/systems (simulated); automated notifications]."
"PE-13(01)_ODP[01]","PE","","PE-13","1","True","PE-13-01-01","","personnel or roles to be notified in the event of a fire is/are defined;","","",""
