INF.7,Name,CIA,G 0.2,G 0.14,G 0.15,G 0.16,G 0.18,G 0.21,G 0.22,G 0.23,G 0.24,G 0.30,G 0.44,G 0.46
INF.7.A1,Suitable Selection and Use of an Office Room,,X,X,X,X,X,,,,X,,X,
INF.7.A2,Closed Windows and Locked Doors,,,X,,X,,,X,X,X,X,X,X
INF.7.A3,Exposed Cable,,,,,,X,,,,,,,
INF.7.A4,ELIMINATED,,,,,,,,,,,,,
INF.7.A5,Workplace Ergonomics,,,,,,,,X,,,,,X
INF.7.A6,Workplace Cleanliness,,,X,,,,,X,,,,,X
INF.7.A7,Suitable Storage of Official Documents and Storage Media,,,X,X,X,,X,X,X,,,,X
INF.7.A8,Use of Anti-Theft Devices,CIA,,,,X,,,,,,,,
