APP.5.2,Name,CIA,G 0.15,G 0.18,G 0.19,G 0.22,G 0.25,G 0.26,G 0.27,G 0.30,G 0.31,G 0.36,G 0.45,G 0.46
APP.5.2.A1,Planning the Use of Exchange and Outlook,,,X,,,,,,,,,,
APP.5.2.A2,Selecting an Exchange Infrastructure,,,X,,,,,,,,,,
APP.5.2.A3,Access Management and Access Rights,,,,,,,,,X,,,,
APP.5.2.A4,ELIMINATED,,,,,,,,,,,,,
APP.5.2.A5,Backing Up Exchange,,,,,,,,,,,,X,
APP.5.2.A6,ELIMINATED,,,,,,,,,,,,,
APP.5.2.A7,Migration of Exchange Systems,,,X,,,X,X,,,,,,
APP.5.2.A8,ELIMINATED,,,,,,,,,,,,,
APP.5.2.A9,Secure Configuration of Exchange Servers,,,,X,,X,,X,,,,,X
APP.5.2.A10,Secure Configuration of Outlook,,,,,,,,,X,X,,,
APP.5.2.A11,Protection of Communications Between Exchange Systems,,X,,X,X,,,,X,,,,
APP.5.2.A12,"Using Outlook Anywhere, MAPI over HTTP, and Outlook on the Web",,,,X,X,,,,,,X,,
APP.5.2.A13,ELIMINATED,,,,,,,,,,,,,
APP.5.2.A14,ELIMINATED,,,,,,,,,,,,,
APP.5.2.A15,ELIMINATED,,,,,,,,,,,,,
APP.5.2.A16,ELIMINATED,,,,,,,,,,,,,
APP.5.2.A17,Encryption of Exchange Database Files,C,,,X,,,,,,,,,
APP.5.2.A18,ELIMINATED,,,,,,,,,,,,,
APP.5.2.A19,ELIMINATED,,,,,,,,,,,,,
