SYS.2.1,Name,CIA,G 0.14,G 0.15,G 0.19,G 0.20,G 0.21,G 0.22,G 0.23,G 0.25,G 0.26,G 0.28,G 0.30,G 0.31,G 0.36,G 0.39,G 0.40,G 0.43,G 0.45,G 0.46
SYS.2.1.A1,Secure User Authorisation,,X,,X,,,X,X,,,,,,X,,,,,
SYS.2.1.A2,ELIMINATED,,,,,,,,,,,,,,,,,,,
SYS.2.1.A3,Activation of Automatic Update Mechanisms,,,,,X,,,,X,X,X,,,,,,,,
SYS.2.1.A4,ELIMINATED,,,,,,,,,,,,,,,,,,,
SYS.2.1.A5,ELIMINATED,,,,,,,,,,,,,,,,,,,
SYS.2.1.A6,Using Malware Protection Programs,,,,,,X,X,,,X,,,,,X,X,,,
SYS.2.1.A7,ELIMINATED,,,,,,,,,,,,,,,,,,,
SYS.2.1.A8,Protecting the Boot Process,,,,,,X,X,,,,,X,X,,,,,X,
SYS.2.1.A9,Defining a Security Policy for Clients,,,,X,,,,,,,,,X,,,,X,,
SYS.2.1.A10,Planning the Use of Clients,,,,,,,X,X,,,,,X,,,,X,,
SYS.2.1.A11,Procurement of Clients,,,,,,,,,X,,,,X,,,,,,
SYS.2.1.A12,ELIMINATED,,,,,,,,,,,,,,,,,,,
SYS.2.1.A13,Access to Runtime Environments with Unmonitored Code Execution,,,,,,X,,,,,,X,,,,,,,
SYS.2.1.A14,"Updates and Patches for Firmware, Operating Systems, and Applications",,,,,,X,,,,X,X,,,,,,,,
SYS.2.1.A15,Secure Installation and Configuration of Clients,,,,,,X,X,X,,,,X,,,,X,,X,
SYS.2.1.A16,Disabling and Removing Unnecessary Components and IDs,,,,X,,,,X,,,X,X,,,,X,,X,
SYS.2.1.A17,ELIMINATED,,,,,,,,,,,,,,,,,,,
SYS.2.1.A18,Using Encrypted Communication,,,X,X,,,,,,,,,,,,,,X,X
SYS.2.1.A19,ELIMINATED,,,,,,,,,,,,,,,,,,,
SYS.2.1.A20,Protecting the Administration Process for Clients,,,X,,,X,,,,,,X,,,,,,,
SYS.2.1.A21,Preventing Unauthorised Use of Computer Microphones and Cameras,,X,X,X,,,,,,,,,,,,,,,
SYS.2.1.A22,ELIMINATED,,,,,,,,,,,,,,,,,,,
SYS.2.1.A23,Preferences for Client-Server Services,,,,,,X,X,,X,,,,X,,,X,X,,
SYS.2.1.A24,Dealing with External and Removable Media,,X,,,,,,,,,,,X,,X,,,,
SYS.2.1.A25,ELIMINATED,,,,,,,,,,,,,,,,,,,
SYS.2.1.A26,Protection Against Exploitation of Vulnerabilities in Applications,,,,,,X,,X,,,X,,,,,,,,
SYS.2.1.A27,Orderly Decommissioning of Clients,,X,,X,,,,,,,,,,,,,,,
SYS.2.1.A28,Encryption of Clients,C,X,X,X,,,,,,,,,,,,,,X,
SYS.2.1.A29,System and Client Monitoring,A,,,,,X,,,X,X,,,,,,X,,,
SYS.2.1.A30,Setting Up a Reference Environment for Clients,CIA,,,,,X,,,,X,,,X,,,,,,
SYS.2.1.A31,Configuring Local Packet Filters,CIA,,,,,,,X,,,,X,,,,X,,,
SYS.2.1.A32,Use of Additional Safeguards to Protect Against Exploits,CIA,,,X,,X,X,X,,,X,X,,,X,X,X,X,
SYS.2.1.A33,Application Whitelisting,CI,,,,,X,,,,,,,X,,X,,,X,
SYS.2.1.A34,Encapsulation of Security-Critical Applications and Operating System Components,CIA,,,,,X,,,,,,,X,,X,,,X,
SYS.2.1.A35,Active Administration of Root Certificates,CI,X,X,X,,,,,,,,,,,,X,,,
SYS.2.1.A36,Self-Managed Use of SecureBoot and TPM,CI,X,,X,X,X,,X,,,,X,,,,,,,
SYS.2.1.A37,Use of Multi-Factor Authentication,C,X,,X,,,,X,,,,X,,X,X,,X,X,
SYS.2.1.A38,Integration into Contingency Planning,A,,,,,,,,X,X,,,,,,,,,
SYS.2.1.A39,Stable and Uninterruptible Power Supply,A,,,,,,,,X,X,,,X,,,,,,
SYS.2.1.A40,Operational Documentation,A,,,,,X,,,X,,,,,,,,,,
SYS.2.1.A41,Use of Quotas for Local Media,A,,,,,,,,X,,,,X,,,,X,,
SYS.2.1.A42,Use of Cloud and Online Functions,,,,X,,,X,,,,,,,,,,,X,X
SYS.2.1.A43,Local Security Policy for Clients,,,,,,,,X,,X,,X,X,,,,,,
SYS.2.1.A44,Client Security Policy Management,,,,,,,,X,,,,X,X,,,,,,
SYS.2.1.A45,Extended Logging,CIA,,,,,,,,,,,X,X,,,,,,
