APP.3.1,Name,CIA,G 0.14,G 0.15,G 0.18,G 0.19,G 0.23,G 0.28,G 0.30,G 0.31,G 0.43,G 0.46,G 0.36
APP.3.1.A1,Authentication,,,,X,,,,X,X,,,X
APP.3.1.A2,ELIMINATED,,,,,,,,,,,,
APP.3.1.A3,ELIMINATED,,,,,,,,,,,,
APP.3.1.A4,Controlled Integration of Files and Content,,,,,X,X,,X,,X,,
APP.3.1.A5,ELIMINATED,,,,,,,,,,,,
APP.3.1.A6,ELIMINATED,,,,,,,,,,,,
APP.3.1.A7,Protection Against Unauthorised Automated Use,,,,,,X,,X,X,,,
APP.3.1.A8,System Architecture,,,,X,,,,,,,,
APP.3.1.A9,Web Application and Web Service Procurement,,,,X,,,X,,,,,
APP.3.1.A10,ELIMINATED,,,,,,,,,,,,
APP.3.1.A11,Secure Integration of Background Systems,,,X,,X,X,,,,X,X,
APP.3.1.A12,Secure Configuration,,,,,,X,,X,X,,,
APP.3.1.A13,ELIMINATED,,,,,,,,,,,,
APP.3.1.A14,Protection of Confidential Data,,,,,X,,,,,,,
APP.3.1.A15,ELIMINATED,,,,,,,,,,,,
APP.3.1.A16,ELIMINATED,,,,,,,,,,,,
APP.3.1.A17,ELIMINATED,,,,,,,,,,,,
APP.3.1.A18,ELIMINATED,,,,,,,,,,,,
APP.3.1.A19,ELIMINATED,,,,,,,,,,,,
APP.3.1.A20,Use of Web Application Firewalls,CIA,,,,,X,,,,,,
APP.3.1.A21,Secure HTTP Configuration of Web Applications,,X,,,,X,,,,,,
APP.3.1.A22,Penetration Testing and Auditing,,,,X,,,X,,,,,
APP.3.1.A23,ELIMINATED,,,,,,,,,,,,
APP.3.1.A24,ELIMINATED,,,,,,,,,,,,
APP.3.1.A25,ELIMINATED,,,,,,,,,,,,
