IND.2.4,Name,CIA,G 0.11,G 0.14,G 0.18,G 0.21,G 0.22,G 0.30,G 0.39
IND.2.4.A1,Remote Maintenance by Mechanical and System Engineers,,X,X,X,X,X,X,
IND.2.4.A2,Operation After End of Warranty,,,,,X,,,X
