term,definition,source_anchor,notes
configuration management,"Processes for defining and maintaining the consistency of configurations of software, hardware and other elements of an organisation to ensure reliable performance through its life.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: asset management
credential stuffing,"A method where attackers use passwords stolen from one web service to try and access accounts on another service, taking advantage of any reuse of username and password combinations.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: credentials; passwords
credentials,"Information used to verify someone's identity, such as a password, token or certificate, that authenticates use of a service.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: passwords
critical national infrastructure (cni),"National assets that are essential for the functioning of society, such as those associated with energy supply, water supply, transportation, health and telecommunications.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: cni
cryptography,Technologies primarily based on maths and computer science for protecting information so that it is only accessible to authorised recipients.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: encryption
csirt,Cyber security incident response team. An expert group that manages the response to a cyber security event or incident.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: computer security incident response team
cyber assessment framework,A tool for assessing how well suppliers of essential services are managing cyber security risks under the NIS Directive.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: caf
cyber attack,"An attempt to damage, disrupt or gain unauthorised access to computer systems, networks or devices.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: hack incident; attacker; cyber threat; hacker; insider threat | see also: hack incident; attacker; cyber threat; hacker; insider threat
cyber essentials,"A government-backed, industry supported scheme to help organisations protect themselves against common cyber attacks.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: cyber attack
cyber security,"The protection of devices, services and networks - and the information on them - from unauthorised access, theft or damage.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: ncsc
cyber strategy,A long-term plan of action with the aim of implementing cyber security.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: ncsc
cyber threat,"The threat of a cyber attack to a user or organisation, and the unauthorised access, theft or damage that could result.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: hacker; cyber attack
cyberfirst,Scheme run by the NCSC that encourage children and young adults to consider a career in cyber security.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,
